sample_ID_full,nanodrop_ngul,wc_country
tLIMS12651p3s244I036BS5,521.3,NA
tLIMS12651p3s245I026BS5,152.6,NA
tLIMS12651p3s246I037BS3,44.3,NA
tLIMS12651p3s248I035BS2,376.8,NA
tLIMS12651p3s249I018BS5,60.2,NA
tLIMS12651p3s250I014BS5,164.3,NA
tLIMS12651p3s251I030BS5,71.5,NA
tLIMS12651p3s252I017BS5,31.5,NA
tLIMS12651p3s253I027BS5,148.8,NA
tLIMS12651p3s254I024BS5,197.8,NA
tLIMS12651p3s255I035BS3,30.7,NA
tLIMS12651p3s256I028BS5,57.8,NA
tLIMS12651p3s257I021BS5,259.8,NA
tLIMS12651p3s258I031BS5,292.6,NA
tLIMS12651p3s259I034BS5,82.4,NA
tLIMS12651p3s260I025BS5,45.9,NA
tLIMS12651p3s263I034BS5,82.4,NA
tLIMS12651p3s264BSctrl,NA,NA
tLIMS12651p3s265MCctrl,NA,NA
tLIMS12651p3s266MCQiactrl,NA,NA
tLIMS12651p3s267MSctrl,NA,NA
tLIMS12651p3s268WCSctrl,0.001,India
tLIMS14462l1s100I098BS5,32.9,NA
tLIMS14462l1s101I099BS1,24.8,NA
tLIMS14462l1s102I099MS1,55.8,NA
tLIMS14462l1s103I099BS2,88.1,NA
tLIMS14462l1s104I099BS3,158,NA
tLIMS14462l1s105I099BS5,421.5,NA
tLIMS14462l1s106I102MS1,954.6,NA
tLIMS14462l1s107I102BS1,46.1,NA
tLIMS14462l1s108I102BS2,186.7,NA
tLIMS14462l1s109I102BS3,53.2,NA
tLIMS14462l1s10I040BS3,209.9,NA
tLIMS14462l1s110I102BS5,34.9,NA
tLIMS14462l1s111I104BS1,102.9,NA
tLIMS14462l1s112I104MS1,134.1,NA
tLIMS14462l1s113I104BS2,51.7,NA
tLIMS14462l1s114I104BS3,30.4,NA
tLIMS14462l1s115I104BS5,12.8,NA
tLIMS14462l1s116I105MS1,330.3,NA
tLIMS14462l1s117I105BS1,134,NA
tLIMS14462l1s118I105BS2,383.2,NA
tLIMS14462l1s119I105BS3,129.9,NA
tLIMS14462l1s11I040BS1,407.3,NA
tLIMS14462l1s120I105BS5,114.2,NA
tLIMS14462l1s121I106BS1,52.7,NA
tLIMS14462l1s122I106MS1,123,NA
tLIMS14462l1s123I106BS2,194.4,NA
tLIMS14462l1s124I106BS2,29.8,NA
tLIMS14462l1s125I106BS3,88.7,NA
tLIMS14462l1s126I106BS5,316.9,NA
tLIMS14462l1s127I109BS1,32.6,NA
tLIMS14462l1s128I109BS2,47.7,NA
tLIMS14462l1s129I109BS3,68.2,NA
tLIMS14462l1s12I040MS1,623.6,NA
tLIMS14462l1s130I109BS3,14.7,NA
tLIMS14462l1s131I109BS5,46.7,NA
tLIMS14462l1s132I110BS1,112.1,NA
tLIMS14462l1s133I110MS1,146.9,NA
tLIMS14462l1s134I110BS2,66.4,NA
tLIMS14462l1s135I110BS3,27,NA
tLIMS14462l1s136I110BS5,163.3,NA
tLIMS14462l1s137I111BS1,5.7,NA
tLIMS14462l1s138I111MS1,51.5,NA
tLIMS14462l1s139I111BS2,111.9,NA
tLIMS14462l1s13I040BS5,159.8,NA
tLIMS14462l1s140I111BS3,81.9,NA
tLIMS14462l1s141I111BS5,75.4,NA
tLIMS14462l1s142I112MS1,90.7,NA
tLIMS14462l1s143I112BS1,152.7,NA
tLIMS14462l1s144I112BS2,263.6,NA
tLIMS14462l1s145I112BS3,379.6,NA
tLIMS14462l1s146I112BS5,146.9,NA
tLIMS14462l1s147I113BS1,142.1,NA
tLIMS14462l1s148I113MS1,88.7,NA
tLIMS14462l1s149I113BS2,45.7,NA
tLIMS14462l1s14I040BS2,53.3,NA
tLIMS14462l1s150I113BS3,398.8,NA
tLIMS14462l1s151I113BS5,154.2,NA
tLIMS14462l1s152I115MS1,398.4,NA
tLIMS14462l1s153I115BS1,29.3,NA
tLIMS14462l1s154I115BS2,23.6,NA
tLIMS14462l1s155I115BS3,42,NA
tLIMS14462l1s156I115BS5,6,NA
tLIMS14462l1s157I117MS1,1743.9,NA
tLIMS14462l1s158I117BS1,314.6,NA
tLIMS14462l1s159I117BS2,535.9,NA
tLIMS14462l1s15I041MS1,752.5,NA
tLIMS14462l1s160I117BS3,651.1,NA
tLIMS14462l1s161I117BS5,262.3,NA
tLIMS14462l1s162I118BS1,120,NA
tLIMS14462l1s163I118MS1,545,NA
tLIMS14462l1s164I118BS2,207.2,NA
tLIMS14462l1s165I118BS3,76.8,NA
tLIMS14462l1s166I118BS5,124,NA
tLIMS14462l1s167I119BS1,134.5,NA
tLIMS14462l1s168I119MS1,494.8,NA
tLIMS14462l1s169I119BS1,76,NA
tLIMS14462l1s16I041BS2,121.1,NA
tLIMS14462l1s170I119BS2,513.3,NA
tLIMS14462l1s171I119BS3,310.2,NA
tLIMS14462l1s172I119BS5,204.1,NA
tLIMS14462l1s173I121MS1,289.8,NA
tLIMS14462l1s174I121BS1,106.4,NA
tLIMS14462l1s175I121BS2,82.8,NA
tLIMS14462l1s176I121BS3,55.5,NA
tLIMS14462l1s177I121BS5,67.2,NA
tLIMS14462l1s178I122MS1,93.1,NA
tLIMS14462l1s179I122BS1,40.2,NA
tLIMS14462l1s17I041BS3,48.3,NA
tLIMS14462l1s180I122BS2,46.1,NA
tLIMS14462l1s181I122BS3,149.3,NA
tLIMS14462l1s182I122BS5,740.1,NA
tLIMS14462l1s183I098toI122MCctrl,NA,NA
tLIMS14462l1s184I098toI122MCQiactrl,NA,NA
tLIMS14462l1s185I098toI122MSctrl,NA,NA
tLIMS14462l1s186I098toI122BSctrl,NA,NA
tLIMS14462l1s187I098toI122WCSctrl,0.001,India
tLIMS14462l1s188I098toI122PCRctrl,0.001,NA
tLIMS14462l1s189carryover,NA,NA
tLIMS14462l1s18I041BS5,28,NA
tLIMS14462l1s190I077BS1,183.7,NA
tLIMS14462l1s191I077MS1,63.3,NA
tLIMS14462l1s192I077BS2,52.4,NA
tLIMS14462l1s193I077BS3,86.4,NA
tLIMS14462l1s194I077BS5,42.5,NA
tLIMS14462l1s195I078BS1,145.2,NA
tLIMS14462l1s196I078BS2,1057.6,NA
tLIMS14462l1s197I078BS3,74.4,NA
tLIMS14462l1s198I078BS5,60.7,NA
tLIMS14462l1s199I078MS1,149,NA
tLIMS14462l1s19I041BS1,142.6,NA
tLIMS14462l1s1I038BS3,56.8,NA
tLIMS14462l1s200I079BS1,7.3,NA
tLIMS14462l1s201I079BS1,14,NA
tLIMS14462l1s202I079MS1,201.4,NA
tLIMS14462l1s203I079BS2,154,NA
tLIMS14462l1s204I079BS3,157.8,NA
tLIMS14462l1s205I079BS5,195.3,NA
tLIMS14462l1s206I080MS1,1598,NA
tLIMS14462l1s207I080BS1,172.3,NA
tLIMS14462l1s208I080BS2,20.1,NA
tLIMS14462l1s209I080BS3,75.5,NA
tLIMS14462l1s20I042BS3,82.1,NA
tLIMS14462l1s210I082MS1,93.9,NA
tLIMS14462l1s211I082BS1,66.7,NA
tLIMS14462l1s212I082BS3,228.4,NA
tLIMS14462l1s213I082BS5,30.4,NA
tLIMS14462l1s214I083MS1,348.9,NA
tLIMS14462l1s215I083BS1,385.4,NA
tLIMS14462l1s216I083BS2,28,NA
tLIMS14462l1s217I083BS3,64.5,NA
tLIMS14462l1s218I083BS5,158.5,NA
tLIMS14462l1s219I084MS1,88.6,NA
tLIMS14462l1s21I042BS1,136.1,NA
tLIMS14462l1s220I084BS1,26.5,NA
tLIMS14462l1s221I084BS2,34.1,NA
tLIMS14462l1s222I084BS3,106.5,NA
tLIMS14462l1s223I084BS5,111.9,NA
tLIMS14462l1s224I086BS1,57.2,NA
tLIMS14462l1s225I086MS1,1432.5,NA
tLIMS14462l1s226I086BS1,367.8,NA
tLIMS14462l1s227I086BS2,15.1,NA
tLIMS14462l1s228I086BS3,4.6,NA
tLIMS14462l1s229I086BS5,124.1,NA
tLIMS14462l1s22I042MS1,241.8,NA
tLIMS14462l1s230I087BS1,22.4,NA
tLIMS14462l1s231I087MS1,204.9,NA
tLIMS14462l1s232I087BS2,89,NA
tLIMS14462l1s233I087BS3,3.8,NA
tLIMS14462l1s234I087BS5,20.4,NA
tLIMS14462l1s235I089MS1,71.2,NA
tLIMS14462l1s236I089BS1,89,NA
tLIMS14462l1s237I089BS1,21.9,NA
tLIMS14462l1s238I089BS2,25.6,NA
tLIMS14462l1s239I089BS3,593.5,NA
tLIMS14462l1s23I042BS5,128.7,NA
tLIMS14462l1s240I089BS5,256.3,NA
tLIMS14462l1s241I091MS1,92.4,NA
tLIMS14462l1s242I091BS1,54.3,NA
tLIMS14462l1s243I091BS2,54.9,NA
tLIMS14462l1s244I091BS3,56.1,NA
tLIMS14462l1s245I091BS5,136,NA
tLIMS14462l1s246I092BS1,49.4,NA
tLIMS14462l1s247I092MS1,1128,NA
tLIMS14462l1s248I092BS2,29.1,NA
tLIMS14462l1s249I092BS3,16.5,NA
tLIMS14462l1s24I042BS2,35.2,NA
tLIMS14462l1s250I092BS5,50,NA
tLIMS14462l1s251I093BS1,296.6,NA
tLIMS14462l1s252I093MS1,582.7,NA
tLIMS14462l1s253I093BS1,414.6,NA
tLIMS14462l1s254I093BS2,36.4,NA
tLIMS14462l1s255I093BS3,33.1,NA
tLIMS14462l1s256I093BS5,20.4,NA
tLIMS14462l1s257I094MS1,232.7,NA
tLIMS14462l1s258I094BS1,29.9,NA
tLIMS14462l1s259I094BS2,7.5,NA
tLIMS14462l1s25I043BS2,10.6,NA
tLIMS14462l1s260I094BS3,14.7,NA
tLIMS14462l1s261I094BS5,187.2,NA
tLIMS14462l1s262I094BS5,168.8,NA
tLIMS14462l1s263I095BS1,11.3,NA
tLIMS14462l1s264I095MS1,61.7,NA
tLIMS14462l1s265I095BS2,21.6,NA
tLIMS14462l1s266I095BS3,39.6,NA
tLIMS14462l1s267I095BS5,17.2,NA
tLIMS14462l1s268I096BS1,148.7,NA
tLIMS14462l1s269I096MS1,2086.9,NA
tLIMS14462l1s26I043BS3,241,NA
tLIMS14462l1s270I096BS2,24.1,NA
tLIMS14462l1s271I096BS3,47.1,NA
tLIMS14462l1s272I096BS5,103.9,NA
tLIMS14462l1s273I077toI096MCctrl,NA,NA
tLIMS14462l1s274I077toI096MCQiactrl,NA,NA
tLIMS14462l1s275I077toI096MSctrl,NA,NA
tLIMS14462l1s276I077toI096BSctrl,NA,NA
tLIMS14462l1s277I077toI096WCSctrl,0.001,India
tLIMS14462l1s278carryover,NA,NA
tLIMS14462l1s279carryover,NA,NA
tLIMS14462l1s27I043BS5,57.1,NA
tLIMS14462l1s280carryover,NA,NA
tLIMS14462l1s281I077toI096PCRctrl,0.001,NA
tLIMS14462l1s282I058BS1,39,NA
tLIMS14462l1s283I058MS1,1739.7,NA
tLIMS14462l1s284I058BS2,43.1,NA
tLIMS14462l1s285I058BS3,176.4,NA
tLIMS14462l1s286I058BS5,51.7,NA
tLIMS14462l1s287I059MS1,1475.8,NA
tLIMS14462l1s288I059BS1,44.8,NA
tLIMS14462l1s289I059BS2,127.8,NA
tLIMS14462l1s28I043MS1,191.1,NA
tLIMS14462l1s290I059BS3,155.4,NA
tLIMS14462l1s291I059BS5,10.5,NA
tLIMS14462l1s292I060MS1,228.1,NA
tLIMS14462l1s293I060BS1,313.6,NA
tLIMS14462l1s294I060BS2,52,NA
tLIMS14462l1s295I060BS2,104.3,NA
tLIMS14462l1s296I060BS3,45,NA
tLIMS14462l1s297I060BS5,47.5,NA
tLIMS14462l1s298I061BS1,17.5,NA
tLIMS14462l1s299I061MS1,905.4,NA
tLIMS14462l1s29I043BS1,254.4,NA
tLIMS14462l1s2I038BS5,44.1,NA
tLIMS14462l1s300I061BS2,96.7,NA
tLIMS14462l1s301I061BS3,166.7,NA
tLIMS14462l1s302I061BS5,329.1,NA
tLIMS14462l1s303I062MS1,1604,NA
tLIMS14462l1s304I062BS1,390.7,NA
tLIMS14462l1s305I062BS2,39.3,NA
tLIMS14462l1s306I062BS3,110.2,NA
tLIMS14462l1s307I062BS5,61.2,NA
tLIMS14462l1s308I063MS1,195.9,NA
tLIMS14462l1s309I063BS1,217.4,NA
tLIMS14462l1s30I044BS1,73.7,NA
tLIMS14462l1s310I063BS2,56.3,NA
tLIMS14462l1s311I063BS2,27,NA
tLIMS14462l1s312I063BS3,82.3,NA
tLIMS14462l1s313I063BS5,24.4,NA
tLIMS14462l1s314I064BS1,103.1,NA
tLIMS14462l1s315I064MS1,93.7,NA
tLIMS14462l1s316I064BS2,46,NA
tLIMS14462l1s317I064BS3,33.8,NA
tLIMS14462l1s318I064BS5,80.6,NA
tLIMS14462l1s319I065MS1,39,NA
tLIMS14462l1s31I044MS1,739.4,NA
tLIMS14462l1s320I065BS1,33.8,NA
tLIMS14462l1s321I065BS2,155.2,NA
tLIMS14462l1s322I065BS3,210.3,NA
tLIMS14462l1s323I065BS5,110.8,NA
tLIMS14462l1s324I066BS1,122.3,NA
tLIMS14462l1s325I066MS1,597.1,NA
tLIMS14462l1s326I066BS2,19.7,NA
tLIMS14462l1s327I066BS3,23.1,NA
tLIMS14462l1s328I066BS5,527.1,NA
tLIMS14462l1s329I067MS1,543.1,NA
tLIMS14462l1s32I044BS2,168.5,NA
tLIMS14462l1s330I067BS1,50.6,NA
tLIMS14462l1s331I067BS2,133.1,NA
tLIMS14462l1s332I067BS3,186.6,NA
tLIMS14462l1s333I067BS5,132.2,NA
tLIMS14462l1s334I068BS1,258.7,NA
tLIMS14462l1s335I068MS1,122.5,NA
tLIMS14462l1s336I068BS2,53,NA
tLIMS14462l1s337I068BS3,36.1,NA
tLIMS14462l1s338I068BS5,96.4,NA
tLIMS14462l1s339I069BS1,93.2,NA
tLIMS14462l1s33I044BS3,55.1,NA
tLIMS14462l1s340I069MS1,161,NA
tLIMS14462l1s341I069BS2,16.1,NA
tLIMS14462l1s342I069BS5,61.3,NA
tLIMS14462l1s343I070MS1,127.1,NA
tLIMS14462l1s344I070BS1,410.3,NA
tLIMS14462l1s345I070BS2,55,NA
tLIMS14462l1s346I070BS3,5.1,NA
tLIMS14462l1s347I070BS3,11.7,NA
tLIMS14462l1s348I070BS5,17.8,NA
tLIMS14462l1s349I070BS5,21,NA
tLIMS14462l1s34I044BS5,278.2,NA
tLIMS14462l1s350I071MS1,66.7,NA
tLIMS14462l1s351I071BS1,38.6,NA
tLIMS14462l1s352I071BS2,64.8,NA
tLIMS14462l1s353I071BS3,57.4,NA
tLIMS14462l1s354I072BS1,54.1,NA
tLIMS14462l1s355I072MS1,463.8,NA
tLIMS14462l1s356I072BS2,137.7,NA
tLIMS14462l1s357I072BS3,192.7,NA
tLIMS14462l1s358I072BS5,70.3,NA
tLIMS14462l1s359I073MS1,121.7,NA
tLIMS14462l1s35I045BS2,105.7,NA
tLIMS14462l1s360I073BS1,25,NA
tLIMS14462l1s361I073BS2,48.9,NA
tLIMS14462l1s362I073BS3,50.9,NA
tLIMS14462l1s363I073BS5,99.3,NA
tLIMS14462l1s365I058toI076MCQiactrl,NA,NA
tLIMS14462l1s366I058toI076WCSctrl,0.001,India
tLIMS14462l1s367I058toI076MSctrl,NA,NA
tLIMS14462l1s368I058toI076BSctrl,NA,NA
tLIMS14462l1s369MCctrl,0.001,NA
tLIMS14462l1s36I045BS3,573.8,NA
tLIMS14462l1s370I071BS5,154.1,NA
tLIMS14462l1s371I058toI076PCRctrl,0.001,NA
tLIMS14462l1s37I045BS5,28.9,NA
tLIMS14462l1s38I045MS1,1312.6,NA
tLIMS14462l1s39I045BS1,254.3,NA
tLIMS14462l1s3I038BS1,5.9,NA
tLIMS14462l1s40I046MS1,45.7,NA
tLIMS14462l1s41I046BS1,473.2,NA
tLIMS14462l1s42I046BS2,37,NA
tLIMS14462l1s43I046BS3,68.8,NA
tLIMS14462l1s44I046BS5,28.7,NA
tLIMS14462l1s45I047BS2,24.8,NA
tLIMS14462l1s46I047BS3,85.9,NA
tLIMS14462l1s47I047BS1,33.1,NA
tLIMS14462l1s48I047BS5,2.6,NA
tLIMS14462l1s49I047MS1,88.5,NA
tLIMS14462l1s4I038MS1,1097.2,NA
tLIMS14462l1s50I048BS1,16.1,NA
tLIMS14462l1s51I048MS1,215.1,NA
tLIMS14462l1s52I048BS2,44.1,NA
tLIMS14462l1s53I048BS3,161,NA
tLIMS14462l1s54I048BS5,87.3,NA
tLIMS14462l1s55I049BS1,97.5,NA
tLIMS14462l1s56I049MS1,2130.5,NA
tLIMS14462l1s57I049BS2,52.8,NA
tLIMS14462l1s58I049BS3,103.8,NA
tLIMS14462l1s59I049BS5,196.4,NA
tLIMS14462l1s5I038BS2,5.7,NA
tLIMS14462l1s60I050BS3,3.6,NA
tLIMS14462l1s61I050BS1,90.8,NA
tLIMS14462l1s62I050MS1,868.3,NA
tLIMS14462l1s63I050BS5,5.2,NA
tLIMS14462l1s64I050BS2,10,NA
tLIMS14462l1s65I052MS1,779.4,NA
tLIMS14462l1s66I052BS1,15.2,NA
tLIMS14462l1s67I052BS2,250.7,NA
tLIMS14462l1s68I052BS3,100.7,NA
tLIMS14462l1s69I052BS5,18.9,NA
tLIMS14462l1s6I039BS3,155.2,NA
tLIMS14462l1s70I053BS1,197.8,NA
tLIMS14462l1s71I053MS1,2483.6,NA
tLIMS14462l1s72I053BS2,107.6,NA
tLIMS14462l1s73I053BS3,206.2,NA
tLIMS14462l1s74I053BS5,163.7,NA
