sample_ID_full,input,filtered,denoised,merged,nonchimeric
tLIMS12651p3s267MSctrl,308446,242783,242783,241819,240462
tLIMS12651p3s268WCSctrl,102391,81323,81323,80561,80415
tLIMS14462l1s100I098BS5,118254,94616,94616,93942,86236
tLIMS14462l1s101I099BS1,97588,78994,78994,78737,74323
tLIMS14462l1s102I099MS1,139868,107482,107482,99722,79263
tLIMS14462l1s103I099BS2,84805,69076,69076,68696,64514
tLIMS14462l1s104I099BS3,156583,126376,126376,125452,115498
tLIMS14462l1s105I099BS5,140641,112802,112802,111741,93949
tLIMS14462l1s106I102MS1,108218,86094,86094,83754,72334
tLIMS14462l1s107I102BS1,47335,38394,38394,38135,37322
tLIMS14462l1s108I102BS2,1075903,863014,863014,859047,756928
tLIMS14462l1s109I102BS3,127394,104053,104053,103619,96616
tLIMS14462l1s10I040BS3,91862,74952,74952,74399,65857
tLIMS14462l1s110I102BS5,106525,86974,86974,86124,76367
tLIMS14462l1s111I104BS1,109458,88806,88806,88034,81273
tLIMS14462l1s112I104MS1,152892,119353,119353,115079,94956
tLIMS14462l1s113I104BS2,116742,92028,92028,91217,82454
tLIMS14462l1s114I104BS3,109839,87878,87878,86903,81678
tLIMS14462l1s115I104BS5,100402,81842,81842,81390,74195
tLIMS14462l1s116I105MS1,123121,94535,94535,88564,75696
tLIMS14462l1s117I105BS1,97742,79481,79481,78551,71056
tLIMS14462l1s118I105BS2,91306,72637,72637,71778,59965
tLIMS14462l1s119I105BS3,115985,94176,94176,92615,77463
tLIMS14462l1s11I040BS1,149034,122269,122269,119637,96411
tLIMS14462l1s120I105BS5,60235,48229,48229,47269,35887
tLIMS14462l1s121I106BS1,118718,94036,94036,93202,83869
tLIMS14462l1s122I106MS1,131454,108084,108084,106705,86700
tLIMS14462l1s123I106BS2,105761,83032,83032,81928,73252
tLIMS14462l1s124I106BS2,121718,95530,95530,94093,84791
tLIMS14462l1s125I106BS3,107717,86073,86073,85323,77267
tLIMS14462l1s126I106BS5,99873,80434,80434,79439,66763
tLIMS14462l1s127I109BS1,99810,81795,81795,81483,80541
tLIMS14462l1s128I109BS2,86423,70692,70692,70098,67088
tLIMS14462l1s129I109BS3,119205,95910,95910,94814,84042
tLIMS14462l1s12I040MS1,91923,71331,71331,62605,47902
tLIMS14462l1s130I109BS3,129963,106473,106473,105805,99839
tLIMS14462l1s131I109BS5,65039,52416,52416,51828,45187
tLIMS14462l1s132I110BS1,131907,108565,108565,106486,88287
tLIMS14462l1s133I110MS1,78516,62236,62236,61029,48824
tLIMS14462l1s134I110BS2,94120,75944,75944,75334,70332
tLIMS14462l1s135I110BS3,74043,58201,58201,58064,57618
tLIMS14462l1s136I110BS5,99541,80264,80264,78268,63101
tLIMS14462l1s137I111BS1,70669,57109,57109,56642,55505
tLIMS14462l1s138I111MS1,108353,83757,83757,80241,76589
tLIMS14462l1s139I111BS2,123963,96631,96631,96256,91439
tLIMS14462l1s13I040BS5,134791,108124,108124,106480,90431
tLIMS14462l1s140I111BS3,88429,72106,72106,70737,62522
tLIMS14462l1s141I111BS5,72408,56372,56372,54800,46227
tLIMS14462l1s142I112MS1,125160,98241,98241,93497,81973
tLIMS14462l1s143I112BS1,64571,50161,50161,48875,39947
tLIMS14462l1s144I112BS2,100886,79495,79495,77563,59039
tLIMS14462l1s145I112BS3,96403,76893,76893,73206,53063
tLIMS14462l1s146I112BS5,148694,119370,119370,117252,92239
tLIMS14462l1s147I113BS1,121154,98407,98407,96016,74693
tLIMS14462l1s148I113MS1,179870,142031,142031,134098,102829
tLIMS14462l1s149I113BS2,114501,91953,91953,90297,69583
tLIMS14462l1s14I040BS2,153795,125285,125285,124282,105046
tLIMS14462l1s150I113BS3,89901,72777,72777,72153,62243
tLIMS14462l1s151I113BS5,180118,144952,144952,143279,124503
tLIMS14462l1s152I115MS1,112345,89041,89041,81586,69068
tLIMS14462l1s153I115BS1,105269,84036,84036,83464,80675
tLIMS14462l1s154I115BS2,177048,139505,139505,138202,125918
tLIMS14462l1s155I115BS3,63302,48023,48023,47264,42739
tLIMS14462l1s156I115BS5,134805,107796,107796,107026,105664
tLIMS14462l1s157I117MS1,166268,132298,132298,128948,116353
tLIMS14462l1s158I117BS1,103351,78623,78623,77778,75342
tLIMS14462l1s159I117BS2,135635,104037,104037,103488,97196
tLIMS14462l1s15I041MS1,133829,106093,106093,97584,73218
tLIMS14462l1s160I117BS3,127085,97109,97109,95735,80680
tLIMS14462l1s161I117BS5,132472,102684,102684,101397,82411
tLIMS14462l1s162I118BS1,98312,78124,78124,77481,76521
tLIMS14462l1s163I118MS1,133862,107817,107817,106232,83942
tLIMS14462l1s164I118BS2,114524,89664,89664,87619,69917
tLIMS14462l1s165I118BS3,101570,78657,78657,77405,63118
tLIMS14462l1s166I118BS5,108273,84441,84441,83832,81922
tLIMS14462l1s167I119BS1,55481,42364,42364,41791,36202
tLIMS14462l1s168I119MS1,121403,95094,95094,92073,79094
tLIMS14462l1s169I119BS1,97255,75567,75567,74687,65578
tLIMS14462l1s16I041BS2,72598,57592,57592,56697,48659
tLIMS14462l1s170I119BS2,112575,87468,87468,85668,66737
tLIMS14462l1s171I119BS3,110049,85144,85144,83251,61184
tLIMS14462l1s172I119BS5,141905,109396,109396,107212,85044
tLIMS14462l1s173I121MS1,103347,77810,77810,71928,57373
tLIMS14462l1s174I121BS1,94896,77797,77797,77590,75403
tLIMS14462l1s175I121BS2,121518,95784,95784,95548,87266
tLIMS14462l1s176I121BS3,111065,89068,89068,88684,81776
tLIMS14462l1s177I121BS5,96490,77320,77320,76693,69861
tLIMS14462l1s178I122MS1,148267,118187,118187,116101,99213
tLIMS14462l1s179I122BS1,88331,71755,71755,71478,67871
tLIMS14462l1s17I041BS3,176132,138595,138595,133924,96569
