"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Stenotrophomonas",0.0187095625277981,0.0430675571942268,"Stenotrophomonas","Stenotrophomonas",1,1,16,0.0625,0.0625,0.000235,0.00094,6,0,27,0.222222222222222,0,1.92592592592593e-05,4.05657989639554e-05,0.229176634615928,0.372093023255814,0.828527131782946,0,0.705018359853121,0,-0.159722222222222,0.0625,FALSE,TRUE,43,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Paracoccus",0.0183779729955583,0.0354846850036726,"Paracoccus","Paracoccus",3,0,16,0.1875,0,2.75e-05,6.96180053338694e-05,7,0,27,0.259259259259259,0,5.33333333333333e-05,0.0001607673904937,0.719017145687488,1,1,0,NA,NA,-0.0717592592592592,0,FALSE,FALSE,44,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Peptoniphilus",0.017997694288399,0.0335757606124435,"Peptoniphilus","Peptoniphilus",4,0,16,0.25,0,9.5e-05,0.000203371581102179,6,1,27,0.222222222222222,0.037037037037037,7.25925925925926e-05,0.000238207934257069,1,1,1,0,NA,NA,0.0277777777777778,-0.037037037037037,TRUE,FALSE,45,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Slackia",0.0165584386094722,0.0319811959680051,"Slackia","Slackia",4,2,16,0.25,0.125,0.00383,0.0130940108446572,5,2,27,0.185185185185185,0.0740740740740741,0.00017037037037037,0.000591903588052867,0.70604870625768,0.620776274207925,1,0,0.914920995057126,0,0.0648148148148148,0.0509259259259259,TRUE,TRUE,46,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Micrococcus",0.0159505802676056,0.0306384145196938,"Micrococcus","Micrococcus",2,1,16,0.125,0.0625,0.00012,0.000448998886412873,6,1,27,0.222222222222222,0.037037037037037,0.000179259259259259,0.000798411528386814,0.688233476333903,1,1,0,1,0,-0.0972222222222222,0.025462962962963,FALSE,TRUE,47,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Gardnerella",0.0158541786451964,0.0334280070279304,"Gardnerella","Gardnerella",0,0,16,0,0,0,0,5,0,27,0.185185185185185,0,3.85185185185185e-05,0.000140540268078466,0.139453853010291,1,0.828527131782946,0,NA,NA,-0.185185185185185,0,FALSE,FALSE,48,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Phascolarctobacterium",0.0154998939567063,0.0300366103358066,"Phascolarctobacterium","Phascolarctobacterium",3,1,16,0.1875,0.0625,0.0006475,0.0025054274419082,5,3,27,0.185185185185185,0.111111111111111,0.00268444444444444,0.0120268025462789,1,1,1,0,1,0,0.00231481481481483,-0.0486111111111111,TRUE,FALSE,49,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Brevibacterium",0.015483147550436,0.0318144584438793,"Brevibacterium","Brevibacterium",4,0,16,0.25,0,2.5e-05,5.03322295684717e-05,4,1,27,0.148148148148148,0.037037037037037,8.59259259259259e-05,0.000376657968283196,0.44327406488197,1,0.901025399517506,0,NA,NA,0.101851851851852,-0.037037037037037,TRUE,FALSE,50,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Clostridioides",0.0143186110696318,0.0290077675698987,"Clostridioides","Clostridioides",3,2,16,0.1875,0.125,0.000195,0.000441784261074717,1,1,27,0.037037037037037,0.037037037037037,8e-05,0.000415692193816531,0.137266023823029,0.54493152904951,0.828527131782946,0,0.891706138444652,0,0.150462962962963,0.087962962962963,TRUE,TRUE,51,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Sphingomonas",0.0141247467171822,0.0276748965639841,"Sphingomonas","Sphingomonas",2,0,16,0.125,0,6.5e-05,0.000239499478078763,1,0,27,0.037037037037037,0,1.48148148148148e-06,7.69800358919501e-06,0.54493152904951,1,0.901025399517506,0,NA,NA,0.087962962962963,0,TRUE,FALSE,52,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Anaerococcus",0.0141007875737264,0.0314927834492582,"Anaerococcus","Anaerococcus",2,0,16,0.125,0,3e-05,0.000100664459136943,6,0,27,0.222222222222222,0,2.37037037037037e-05,6.20265543722481e-05,0.688233476333903,1,1,0,NA,NA,-0.0972222222222222,0,FALSE,FALSE,53,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Ralstonia",0.0138962049955394,0.0274208172169771,"Ralstonia","Ralstonia",2,0,16,0.125,0,1.25e-05,4.05791407827552e-05,0,0,27,0,0,0,0,0.132890365448505,1,0.828527131782946,0,NA,NA,0.125,0,TRUE,FALSE,54,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Varibaculum",0.013739233524555,0.0267996592461204,"Varibaculum","Varibaculum",3,0,16,0.1875,0,4.75e-05,0.000133241635134568,1,0,27,0.037037037037037,0,2.96296296296296e-05,0.0001539600717839,0.137266023823029,1,0.828527131782946,0,NA,NA,0.150462962962963,0,TRUE,FALSE,55,0,16,"ns","ns",0.603333333333333,0.167908603725967
"Alistipes",0.0131788298274972,0.0253666033959271,"Alistipes","Alistipes",3,1,16,0.1875,0.0625,0.000165,0.000588398957624275,4,2,27,0.148148148148148,0.0740740740740741,0.00010962962962963,0.000366537661843715,1,1,1,0,1,0,0.0393518518518519,-0.0115740740740741,TRUE,FALSE,56,0,16,"ns","ns",0.603333333333333,0.167908603725967
