"","mean","sd","tax_id","taxonomy","nonresponder_present","nonresponder_present_strict","nonresponder_n","nonresponder_prev","nonresponder_prev_strict","nonresponder_mean","nonresponder_sd","responder_present","responder_present_strict","responder_n","responder_prev","responder_prev_strict","responder_mean","responder_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_nonresponder","enriched_nonresponder_strict","rf_rank","rf_top20","rf_n","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Anaerococcus",0.0371322739366304,0.0682237064955814,"Anaerococcus","Anaerococcus",7,1,85,0.0823529411764706,0.0117647058823529,2.25882352941176e-05,0.00012473927992089,4,0,46,0.0869565217391304,0,6.95652173913044e-06,2.70694222913679e-05,1,1,1,0,NA,NA,-0.00460358056265985,0.0117647058823529,FALSE,TRUE,41,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Eggerthella",0.0349267890555305,0.0755273698856979,"Eggerthella","Eggerthella",5,1,85,0.0588235294117647,0.0117647058823529,8.04705882352941e-05,0.000546102872487351,0,0,46,0,0,0,0,0.161433357637776,1,0.80716678818888,0,NA,NA,0.0588235294117647,0.0117647058823529,TRUE,TRUE,42,0,46,"ns","ns",0.514789473684211,0.113245036943507
"UBA1819",0.0333691684345265,0.0642705684917618,"UBA1819","UBA1819",1,0,85,0.0117647058823529,0,1.41176470588235e-06,1.30158274691194e-05,3,3,46,0.0652173913043478,0.0652173913043478,0.000982608695652174,0.00483681917277718,0.124053056166273,0.041458984828415,0.80716678818888,0,0.548598737963021,0,-0.0534526854219949,-0.0652173913043478,FALSE,FALSE,43,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Olsenella",0.0329244346292065,0.0604022746760969,"Olsenella","Olsenella",3,1,85,0.0352941176470588,0.0117647058823529,6.49411764705882e-05,0.000572811827178649,3,2,46,0.0652173913043478,0.0434782608695652,0.00101304347826087,0.00627268961258609,0.423244673595924,0.281732646902184,0.947771585422384,0,NA,NA,-0.029923273657289,-0.0317135549872123,FALSE,FALSE,44,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Sarcina",0.0315602778103239,0.0572501975198225,"Sarcina","Sarcina",3,2,85,0.0352941176470588,0.0235294117647059,0.000398588235294118,0.00305394325614683,3,1,46,0.0652173913043478,0.0217391304347826,0.0017704347826087,0.0119895938132517,0.423244673595924,1,0.947771585422384,0,NA,NA,-0.029923273657289,0.00179028132992327,FALSE,TRUE,45,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Prevotella",0.0310439879388575,0.0640396579802935,"Prevotella","Prevotella",5,1,85,0.0588235294117647,0.0117647058823529,2.58823529411765e-05,0.000140435497120709,0,0,46,0,0,0,0,0.161433357637776,1,0.80716678818888,0,NA,NA,0.0588235294117647,0.0117647058823529,TRUE,TRUE,46,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Bradyrhizobium",0.0299429313906475,0.0590330613633483,"Bradyrhizobium","Bradyrhizobium",3,0,85,0.0352941176470588,0,2.35294117647059e-06,1.28773572805997e-05,0,0,46,0,0,0,0,0.551489164128965,1,NA,NA,NA,NA,0.0352941176470588,0,TRUE,FALSE,47,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Actinobacillus",0.0290335493333266,0.0784223570454479,"Actinobacillus","Actinobacillus",3,0,85,0.0352941176470588,0,8e-06,5.08218175871067e-05,0,0,46,0,0,0,0,0.551489164128965,1,NA,NA,NA,NA,0.0352941176470588,0,TRUE,FALSE,48,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Tyzzerella_3",0.0259990719952127,0.0611619321279174,"Tyzzerella_3","Tyzzerella_3",4,2,85,0.0470588235294118,0.0235294117647059,0.000145411764705882,0.00103886104408028,0,0,46,0,0,0,0,0.29686582501468,0.540810334703465,NA,NA,NA,NA,0.0470588235294118,0.0235294117647059,TRUE,TRUE,49,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Lachnoclostridium",0.0233734939984043,0.0469803196817001,"Lachnoclostridium","Lachnoclostridium",7,4,85,0.0823529411764706,0.0470588235294118,0.000317647058823529,0.00169739691955683,1,1,46,0.0217391304347826,0.0217391304347826,0.000476521739130435,0.00323192767891534,0.259457121988641,0.656498529367964,0.825300858363329,0,NA,NA,0.060613810741688,0.0253196930946292,TRUE,TRUE,50,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Bacillus",0.0231601238761278,0.0448168310323821,"Bacillus","Bacillus",2,0,85,0.0235294117647059,0,9.41176470588235e-07,6.09908841974116e-06,1,0,46,0.0217391304347826,0,1.73913043478261e-06,1.17953564923918e-05,1,1,NA,NA,NA,NA,0.00179028132992327,0,TRUE,FALSE,51,0,46,"ns","ns",0.514789473684211,0.113245036943507
"Megamonas",0.0220800039690217,0.0455498737218688,"Megamonas","Megamonas",3,3,85,0.0352941176470588,0.0352941176470588,0.000927529411764706,0.00665280605063299,1,0,46,0.0217391304347826,0,1.30434782608696e-05,8.84651736929383e-05,1,0.551489164128965,NA,NA,NA,NA,0.0135549872122762,0.0352941176470588,TRUE,TRUE,52,0,46,"ns","ns",0.514789473684211,0.113245036943507
