"","Estimate","Std.Error","pvalue","padj","method","genus","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Enhydrobacter1",-0.157,0.173,0.37,0.488679245283019,"zinb","Enhydrobacter","ns",0.310976105519537,70,0,753,243,302,108,"IND-MLW"
"Faecalibacterium",3.203,0.823,0.00011,0.000320833333333333,"zinb","Faecalibacterium","MLW",3.49372051653912,70,0,753,243,302,108,"IND-MLW"
"Agathobacter",1.579,0.234,5.2e-11,3.64e-10,"zinb","Agathobacter","MLW",9.43889861635094,70,0,753,243,302,108,"IND-MLW"
"Corynebacterium_11",-1.214,0.106,1.5e-26,3.5e-25,"zinb","Corynebacterium_1","IND",24.4559319556497,70,0,753,243,302,108,"IND-MLW"
"Subdoligranulum",1.11,0.257,2e-05,6.66666666666667e-05,"zinb","Subdoligranulum","MLW",4.17609125905568,70,0,753,243,302,108,"IND-MLW"
"Succinivibrio",2.974,0.508,1e-08,5e-08,"zinb","Succinivibrio","MLW",7.30102999566398,70,0,753,243,302,108,"IND-MLW"
"Hydrogenophilus1",-10.4,0.424,2.1e-82,7.35e-81,"zinb","Hydrogenophilus","IND",80.1337126609158,70,0,753,243,302,108,"IND-MLW"
"Bradyrhizobium1",-1.678,0.18,6.8e-19,1.19e-17,"zinb","Bradyrhizobium","IND",16.9244530386075,70,0,753,243,302,108,"IND-MLW"
"Blautia",0.731,0.184,8.6e-05,0.000261739130434783,"zinb","Blautia","MLW",3.58213134475977,70,0,753,243,302,108,"IND-MLW"
"Ruminococcus_2",1.241,0.424,0.0036,0.007,"zinb","Ruminococcus_2","MLW",2.15490195998574,70,0,753,243,302,108,"IND-MLW"
"Dermacoccus1",-0.891,0.244,3e-04,0.000777777777777778,"zinb","Dermacoccus","IND",3.10914446942507,70,0,753,243,302,108,"IND-MLW"
"Dorea",0.874,0.258,0.00079,0.001728125,"zinb","Dorea","MLW",2.76242484701521,70,0,753,243,302,108,"IND-MLW"
"Paracoccus1",-1.148,0.137,9.4e-16,1.09666666666667e-14,"zinb","Paracoccus","IND",13.9599253567697,70,0,753,243,302,108,"IND-MLW"
"Granulicatella1",-0.03,0.158,0.85,0.915384615384615,"zinb","Granulicatella","ns",0.038396390914306,70,0,753,243,302,108,"IND-MLW"
"Micrococcus1",-0.443,0.135,0.0011,0.00226470588235294,"zinb","Micrococcus","IND",2.64498819186977,70,0,753,243,302,108,"IND-MLW"
"Kocuria1",-0.105,0.15,0.49,0.6125,"zinb","Kocuria","ns",0.21289390696343,70,0,753,243,302,108,"IND-MLW"
"Alloprevotella",0.32,0.252,0.2,0.28,"zinb","Alloprevotella","ns",0.552841968657781,70,0,753,243,302,108,"IND-MLW"
"S311",-2.649,0.381,1.4e-11,1.225e-10,"zinb","S31","IND",9.91186391129945,70,0,753,243,302,108,"IND-MLW"
"Janibacter1",0.004,0.156,0.98,0.994202898550725,"zinb","Janibacter","ns",0.00252497503050363,70,0,753,243,302,108,"IND-MLW"
"Aeromonas1",-0.859,0.165,3e-07,1.3125e-06,"zinb","Aeromonas","IND",5.88190068792201,70,0,753,243,302,108,"IND-MLW"
"Prevotella_7",0.679,0.249,0.0067,0.0123421052631579,"zinb","Prevotella_7","MLW",1.90861075390173,70,0,753,243,302,108,"IND-MLW"
"Aerococcus1",-0.86,0.231,0.00022,0.000592307692307692,"zinb","Aerococcus","IND",3.22745262713436,70,0,753,243,302,108,"IND-MLW"
"Shewanella1",-0.745,0.331,0.025,0.0406976744186047,"zinb","Shewanella","IND",1.39043040689329,70,0,753,243,302,108,"IND-MLW"
"Chryseobacterium1",0.089,0.181,0.62,0.711290322580645,"zinb","Chryseobacterium","ns",0.147953100030415,70,0,753,243,302,108,"IND-MLW"
"Cloacibacterium1",-0.155,0.206,0.45,0.572727272727273,"zinb","Cloacibacterium","ns",0.242052135704643,70,0,753,243,302,108,"IND-MLW"
"Rheinheimera1",-1.621,0.325,8.8e-07,3.62352941176471e-06,"zinb","Rheinheimera","IND",5.44086820921385,70,0,753,243,302,108,"IND-MLW"
"Exiguobacterium1",-0.863,0.243,0.00043,0.00103793103448276,"zinb","Exiguobacterium","IND",2.98383150230511,70,0,753,243,302,108,"IND-MLW"
"Actinomyces1",-0.37,0.22,0.093,0.141521739130435,"zinb","Actinomyces","ns",0.849176843113382,70,0,753,243,302,108,"IND-MLW"
"Alishewanella1",-1.563,0.275,2.5e-08,1.16666666666667e-07,"zinb","Alishewanella","IND",6.93305321036939,70,0,753,243,302,108,"IND-MLW"
"Brachybacterium1",-0.08,0.157,0.61,0.711290322580645,"zinb","Brachybacterium","ns",0.147953100030415,70,0,753,243,302,108,"IND-MLW"
"Rubellimicrobium1",-1.862,0.537,0.00058,0.00135333333333333,"zinb","Rubellimicrobium","IND",2.86859522114247,70,0,753,243,302,108,"IND-MLW"
"Brevundimonas1",-0.434,0.177,0.014,0.0233333333333333,"zinb","Brevundimonas","IND",1.63202321470541,70,0,753,243,302,108,"IND-MLW"
"Flavobacterium1",0.503,0.204,0.014,0.0233333333333333,"zinb","Flavobacterium","MLW",1.63202321470541,70,0,753,243,302,108,"IND-MLW"
"Stenotrophomonas1",0.018,0.206,0.93,0.971641791044776,"zinb","Stenotrophomonas","ns",0.0124938141326345,70,0,753,243,302,108,"IND-MLW"
"Geobacillus1",13.555,0.126,3.1e-301,2.17e-299,"zinb","Geobacillus","MLW",298.663540266151,70,0,753,243,302,108,"IND-MLW"
"Bergeyella1",-0.825,0.206,7.4e-05,0.000235454545454545,"zinb","Bergeyella","IND",3.62809292107697,70,0,753,243,302,108,"IND-MLW"
"Moraxella1",-0.623,0.241,0.01,0.017948717948718,"zinb","Moraxella","IND",1.74596656701224,70,0,753,243,302,108,"IND-MLW"
"Saccharopolyspora1",-9.312,1.351,2.1e-11,1.63333333333333e-10,"zinb","Saccharopolyspora","IND",9.78692517469115,70,0,753,243,302,108,"IND-MLW"
"Anaerococcus1",0.05,0.18,0.78,0.866666666666667,"zinb","Anaerococcus","ns",0.0621479067488445,70,0,753,243,302,108,"IND-MLW"
"Comamonas1",-1.642,0.177,1.1e-18,1.54e-17,"zinb","Comamonas","IND",16.8124792791635,70,0,753,243,302,108,"IND-MLW"
"Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium1",-1.684,0.526,0.0015,0.003,"zinb","Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium","IND",2.52287874528034,70,0,753,243,302,108,"IND-MLW"
"Citricoccus",0.01,0.239,0.97,0.994202898550725,"zinb","Citricoccus","ns",0.00252497503050363,70,0,753,243,302,108,"IND-MLW"
"Qipengyuania1",-1.484,0.304,1.5e-06,5.83333333333333e-06,"zinb","Qipengyuania","IND",5.23408320603337,70,0,753,243,302,108,"IND-MLW"
"Methylobacterium",0.234,0.226,0.3,0.403846153846154,"zinb","Methylobacterium","ns",0.39378404890088,70,0,753,243,302,108,"IND-MLW"
"Brevibacterium1",0.29,0.183,0.11,0.157142857142857,"zinb","Brevibacterium","ns",0.803705354856032,70,0,753,243,302,108,"IND-MLW"
"Empedobacter",0.166,0.27,0.54,0.651724137931035,"zinb","Empedobacter","ns",0.185936193725712,70,0,753,243,302,108,"IND-MLW"
"Dietzia",0.123,0.203,0.54,0.651724137931035,"zinb","Dietzia","ns",0.185936193725712,70,0,753,243,302,108,"IND-MLW"
"Ornithinimicrobium1",-0.588,0.177,0.00097,0.00205757575757576,"zinb","Ornithinimicrobium","IND",2.68664416559739,70,0,753,243,302,108,"IND-MLW"
"Deinococcus1",-3.457,0.548,7.5e-10,4.375e-09,"zinb","Deinococcus","IND",8.35902194264167,70,0,753,243,302,108,"IND-MLW"
"unassigned1",-3.828,0.512,4.9e-13,4.9e-12,"zinb","unassigned","IND",11.3098039199715,70,0,753,243,302,108,"IND-MLW"
"Sphingomonas1",-0.256,0.154,0.096,0.142978723404255,"zinb","Sphingomonas","ns",0.844728584881892,70,0,753,243,302,108,"IND-MLW"
"Bifidobacterium2",-1.864,0.256,1.6e-11,1.41333333333333e-10,"zinb","Bifidobacterium","MLW",9.84975539812693,54,1,243,128,108,51,"MLW-UK"
"Streptococcus2",0.032,0.093,0.73,0.779411764705882,"nb","Streptococcus","ns",0.108233043105447,54,1,243,128,108,51,"MLW-UK"
"Staphylococcus2",0.52,0.133,0.00013,0.000492142857142857,"nb","Staphylococcus","UK",3.30790881377061,54,1,243,128,108,51,"MLW-UK"
"Bacteroides2",-1.028,0.338,0.0028,0.00668260869565217,"zinb","Bacteroides","MLW",2.17505396851785,54,1,243,128,108,51,"MLW-UK"
"Veillonella2",-0.137,0.227,0.55,0.647777777777778,"zinb","Veillonella","ns",0.188573954680311,54,1,243,128,108,51,"MLW-UK"
"Lactobacillus2",-0.245,0.295,0.41,0.493863636363636,"zinb","Lactobacillus","ns",0.306392950165663,54,1,243,128,108,51,"MLW-UK"
"Collinsella2",-1.216,0.385,0.0019,0.0047952380952381,"zinb","Collinsella","MLW",2.3191898241803,54,1,243,128,108,51,"MLW-UK"
"Haemophilus2",1.336,0.305,2.2e-05,9.71666666666667e-05,"zinb","Haemophilus","UK",4.01248269562463,54,1,243,128,108,51,"MLW-UK"
"Klebsiella2",-0.443,0.344,0.2,0.271794871794872,"zinb","Klebsiella","ns",0.565758741761729,54,1,243,128,108,51,"MLW-UK"
"Rothia2",-0.396,0.238,0.099,0.141810810810811,"zinb","Rothia","ns",0.848290659868656,54,1,243,128,108,51,"MLW-UK"
"unassigned_Lachnospiraceae1",-1.517,0.456,0.0011,0.00306842105263158,"zinb","unassigned_Lachnospiraceae","MLW",2.51308504619381,54,1,243,128,108,51,"MLW-UK"
"Gemella2",0.715,0.249,0.0046,0.0101583333333333,"zinb","Gemella","UK",1.99317754042924,54,1,243,128,108,51,"MLW-UK"
"Prevotella_91",-1.406,0.532,0.009,0.0176666666666667,"zinb","Prevotella_9","MLW",1.75284538511887,54,1,243,128,108,51,"MLW-UK"
"Pseudomonas2",0.367,0.323,0.26,0.33609756097561,"zinb","Pseudomonas","ns",0.473534639148128,54,1,243,128,108,51,"MLW-UK"
"Cutibacterium2",0.057,0.2,0.78,0.795,"zinb","Cutibacterium","ns",0.0996328713435297,54,1,243,128,108,51,"MLW-UK"
"Enterobacter2",1.439,0.316,1e-05,4.81818181818182e-05,"zinb","Enterobacter","UK",4.31711681555744,54,1,243,128,108,51,"MLW-UK"
"Acinetobacter2",-0.119,0.253,0.64,0.737391304347826,"zinb","Acinetobacter","ns",0.132301988096898,54,1,243,128,108,51,"MLW-UK"
"Enhydrobacter2",0.086,0.274,0.75,0.779411764705882,"zinb","Enhydrobacter","ns",0.108233043105447,54,1,243,128,108,51,"MLW-UK"
"Faecalibacterium1",-2.394,0.499,3.8e-06,2.23777777777778e-05,"zinb","Faecalibacterium","MLW",4.65018304322173,54,1,243,128,108,51,"MLW-UK"
"Agathobacter1",-2.543,0.279,3.4e-16,9.01e-15,"zinb","Agathobacter","MLW",14.0452752090209,54,1,243,128,108,51,"MLW-UK"
"Corynebacterium_12",-0.58,0.204,0.0051,0.010812,"zinb","Corynebacterium_1","MLW",1.96609396297331,54,1,243,128,108,51,"MLW-UK"
"Subdoligranulum1",-0.983,0.38,0.011,0.0201034482758621,"zinb","Subdoligranulum","MLW",1.69672944313994,54,1,243,128,108,51,"MLW-UK"
"Succinivibrio1",-44.957,1901139.402,1,1,"zinb","Succinivibrio","ns",0,54,1,243,128,108,51,"MLW-UK"
"Blautia1",-1.125,0.372,0.0029,0.00668260869565217,"zinb","Blautia","MLW",2.17505396851785,54,1,243,128,108,51,"MLW-UK"
