"","mean","sd","crossval_median","crossval_q1","crossval_q3","module"
"A1AT_BS5_Concugml2",0.151948024279259,0.282312785621374,0.5,0.363636363636364,0.6,"module4_unexposed"
"MB1_IgA2",0.150493333421282,0.277082554990915,0.5,0.363636363636364,0.6,"module4_unexposed"
"HAZ_6_8w2",0.144081420717554,0.264770389309609,0.5,0.363636363636364,0.6,"module4_unexposed"
"Bifidobacterium2",0.133709023193939,0.238860980975438,0.5,0.363636363636364,0.6,"module4_unexposed"
"AG_Concugml2",0.131367479012343,0.236717430654387,0.5,0.363636363636364,0.6,"module4_unexposed"
"Streptococcus2",0.128481483460896,0.23455358813672,0.5,0.363636363636364,0.6,"module4_unexposed"
"A1AT_BS3_Concugml2",0.125537951674812,0.227965042402757,0.5,0.363636363636364,0.6,"module4_unexposed"
"BM1_IgA2",0.125330904897338,0.233234628886863,0.5,0.363636363636364,0.6,"module4_unexposed"
"MB1_IgG2",0.122133637840958,0.230245391618142,0.5,0.363636363636364,0.6,"module4_unexposed"
"Staphylococcus2",0.120715825533994,0.227060842582446,0.5,0.363636363636364,0.6,"module4_unexposed"
"Veillonella2",0.118233258008342,0.212340279679616,0.5,0.363636363636364,0.6,"module4_unexposed"
"mother_weight2",0.115263706109574,0.210730256308335,0.5,0.363636363636364,0.6,"module4_unexposed"
"Klebsiella2",0.111460085428394,0.20253300517697,0.5,0.363636363636364,0.6,"module4_unexposed"
"Rothia2",0.111288832464188,0.208911997386778,0.5,0.363636363636364,0.6,"module4_unexposed"
"CB1_IgG2",0.107566465859613,0.200613624176717,0.5,0.363636363636364,0.6,"module4_unexposed"
"Lactobacillus2",0.10201920044513,0.184380466233477,0.5,0.363636363636364,0.6,"module4_unexposed"
"maternal_education2",0.100439984846876,0.184586970585705,0.5,0.363636363636364,0.6,"module4_unexposed"
"Corynebacterium_12",0.0985160199082421,0.191340771957424,0.5,0.363636363636364,0.6,"module4_unexposed"
"OPV_IPV2",0.09099668946718,0.194013897660013,0.5,0.363636363636364,0.6,"module4_unexposed"
"age_mother2",0.087362801766191,0.160946307957512,0.5,0.363636363636364,0.6,"module4_unexposed"
"Bacteroides2",0.0785847704392162,0.16681794406381,0.5,0.363636363636364,0.6,"module4_unexposed"
"unassigned_Lachnospiraceae2",0.0776221365154414,0.156962513304653,0.5,0.363636363636364,0.6,"module4_unexposed"
"Dolosigranulum2",0.0739705636871394,0.137559642988102,0.5,0.363636363636364,0.6,"module4_unexposed"
"Gemella2",0.0729986006074494,0.137127001379528,0.5,0.363636363636364,0.6,"module4_unexposed"
"Haemophilus2",0.0593121191553919,0.119022351357771,0.5,0.363636363636364,0.6,"module4_unexposed"
"Anaerococcus2",0.0554753038918868,0.113175100296603,0.5,0.363636363636364,0.6,"module4_unexposed"
"Collinsella2",0.0530654388819088,0.111033653095893,0.5,0.363636363636364,0.6,"module4_unexposed"
"Clostridium_sensu_stricto_12",0.052107392647696,0.12062893510311,0.5,0.363636363636364,0.6,"module4_unexposed"
"Megasphaera2",0.049448384757391,0.118303244923845,0.5,0.363636363636364,0.6,"module4_unexposed"
"Finegoldia2",0.0468648816767546,0.0937405715772809,0.5,0.363636363636364,0.6,"module4_unexposed"
"parity2",0.0466056350627385,0.0897652655710653,0.5,0.363636363636364,0.6,"module4_unexposed"
"unassigned_Saccharimonadales2",0.0456388529277593,0.110635822565438,0.5,0.363636363636364,0.6,"module4_unexposed"
"Parabacteroides2",0.0435883454897695,0.0922752749578649,0.5,0.363636363636364,0.6,"module4_unexposed"
"Enterobacter2",0.0426456780321098,0.078979221172682,0.5,0.363636363636364,0.6,"module4_unexposed"
"Actinomyces2",0.0404747125578851,0.0889833493147906,0.5,0.363636363636364,0.6,"module4_unexposed"
"unassigned_Enterobacteriaceae2",0.0391413624352803,0.0784397509499618,0.5,0.363636363636364,0.6,"module4_unexposed"
"Sutterella2",0.035771705940454,0.0875357122067651,0.5,0.363636363636364,0.6,"module4_unexposed"
