"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t1886","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces albidoflavus"
"t2546351","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter","Thermaerobacter sp. FW80"
"t97081","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae","Traversvirus","Traversvirus Enterobacteria phage VT2-Sakai"
"t29405","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Microlunatus","Microlunatus phosphovorus"
"t1795355","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cyclobacteriaceae","Echinicola","Echinicola strongylocentroti"
"t1411095","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Lubbockvirus","Lubbockvirus Clostridium phage CDMH1"
"t2509341","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Thiovulaceae","Sulfurimonas","Sulfurimonas sp. NW10"
"t1324796","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter lycopersici"
"t2033437","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Chitinophaga","Chitinophaga sp. MD30"
"t1913995","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Gaprivervirus","Gaprivervirus Shigella virus SP18"
"t134536","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia caledonica"
"t2560541","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Alcyoneusvirus","Alcyoneusvirus Klebsiella virus K64-1"
"t1979344","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium sp. MDT1-60"
"t2609253","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Rathayibacter","Rathayibacter sp. VKM Ac-2760"
"t2341112","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Georhizobium","Georhizobium profundi"
"t1609977","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas hengshuiensis"
"t1673887","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae",""," Citrobacter phage IME-CF2"
"t2479392","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. LTJR-52"
"t2731624","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Taipeivirus","Taipeivirus Klebsiella virus May"
"t1737446","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Chitinibacter","Chitinibacter fontanus"
"t1825976","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Neorhizobium","Neorhizobium sp. NCHU2750"
"t1178778","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter cobaltidurans"
"t1904944","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. LM091"
"t870903","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus","Terriglobus saanensis"
"t2080742","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Agromyces","Agromyces badenianii"
"t153151","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Parageobacillus","Parageobacillus toebii"
"t2528023","Bacteria","Planctomycetes","Planctomycetia","Gemmatales","Gemmataceae","Urbifossiella","Urbifossiella limnaea"
"t1515","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Acetivibrio","Acetivibrio thermocellus"
"t2772068","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," crAssphage cr8_1"
"t1522758","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. ADI95-16"
"t1435069","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio tritonius"
"t1325564","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira japonica"
"t2081052","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Polynucleobacter","Polynucleobacter sp. MG-Unter2-18"
"t455432","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Nocardiaceae","Nocardia","Nocardia terpenica"
"t568766","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya sp. NCPPB 3274"
"t2569541","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfopila","Desulfopila sp. IMCC35005"
"t1609968","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter sp. YE315"
"t1703","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Brevibacteriaceae","Brevibacterium","Brevibacterium linens"
"t2735133","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Herbiconiux","Herbiconiux sp. SALV-R1"
"t1561023","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. MR_MD2014"
"t496874","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Cornellvirus","Cornellvirus Lactobacillus phage Lrm1"
"t2108365","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Tepiditoga","Tepiditoga spiralis"
"t1636152","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Planctomyces","Planctomyces sp. SH-PL62"
"t2587848","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus sp. THAF10"
"t2614639","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium lushaniae"
"t2596911","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter sp. NBSH8"
"t2070200","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Ackermannviridae","Kuttervirus","Kuttervirus Escherichia phage EP75"
"t4924","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","Scheffersomyces stipitis"
"t1929477","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces solisilvae"
"t2479547","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea sp. 201603H"
"t1842532","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Syntrophotaleaceae","Syntrophotalea","Syntrophotalea acetylenivorans"
"t75985","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Mannheimia","Mannheimia haemolytica"
"t1079","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae","Blastochloris","Blastochloris viridis"
"t743009","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium oryzae"
"t1222016","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Caldicellulosiruptor","Caldicellulosiruptor changbaiensis"
"t1284658","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina","Planktomarina temperata"
"t2495645","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum sp. 313"
"t200618","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides aromaticivorans"
"t298654","Bacteria","Actinobacteria","Actinomycetia","Frankiales","Frankiaceae","Frankia","Frankia inefficax"
"t1472767","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lentibacillus","Lentibacillus amyloliquefaciens"
"t2710596","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma sp. PL0136"
"t2098","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma hominis"
"t161398","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas phenolica"
"t42253","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira","Nitrospira moscoviensis"
"t2772075","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," crAssphage cr126_1"
"t530584","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Prauserella","Prauserella marina"
"t2072414","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. ESTM1D_MKCIP4_1"
"t1740721","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Neobacillus","Neobacillus cucumis"
"t151895","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pseudopedobacter","Pseudopedobacter saltans"
"t79883","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Sutcliffiella","Sutcliffiella Bacillus horikoshii"
"t363952","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","Comamonas thiooxydans"
"t2070337","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. SGAir0471"
"t161154","Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Thermanaeromonas","Thermanaeromonas toyohensis"
"t2766470","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc falkenbergense"
"t119219","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus metallidurans"
"t2613773","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium sp. BG8"
"t1307839","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Salinivirgaceae","Salinivirga","Salinivirga cyanobacteriivorans"
"t42197","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema","Actinosynnema pretiosum"
"t1791","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium","Mycolicibacterium aurum"
"t94254","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Dyadobacter fermentans"
"t224012","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Nostoc","Nostoc piscinale"
"t2587865","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. THAF190c"
"t2731377","Bacteria","Firmicutes","Clostridia","Eubacteriales","Proteinivoraceae","Alkalicella","Alkalicella caledoniensis"
"t1074044","Viruses","Hofneiviricota","Faserviricetes","Tubulavirales","Inoviridae",""," uncultured phage WW-nAnB"
"t2033438","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia sp. MYb239"
"t2686366","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter sp. L3A6"
"t256701","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Glutamicibacter","Glutamicibacter arilaitensis"
"t46234","Bacteria","Cyanobacteria","","Nostocales","Nostocaceae","Anabaena","Anabaena sp. 90"
"t2750011","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. Rer75"
"t82985","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Budviciaceae","Pragia","Pragia fontium"
"t2732031","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Demerecviridae","Epseptimavirus","Epseptimavirus Salmonella virus S147"
"t197575","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus aegyptius"
"t2331","Bacteria","Firmicutes","Clostridia","Halanaerobiales","Halanaerobiaceae","Halanaerobium","Halanaerobium praevalens"
"t2714931","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Sanguibacteraceae","Sanguibacter","Sanguibacter sp. HDW7"
"t2742131","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis","Amycolatopsis sp. Hca4"
"t148814","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Apilactobacillus","Apilactobacillus kunkeei"
"t1724","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium renale"
"t2590785","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter sp. NIBRBAC000502770"
"t1945512","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio","Cellvibrio sp. PSBB023"
"t392610","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus","Sphingorhabdus lacus"
"t2509455","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Agromyces","Agromyces protaetiae"
"t1287055","Bacteria","Spirochaetes","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira hampsonii"
"t2588711","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pelagovum","Pelagovum pacificum"
"t2003121","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium sp. G1-14"
"t1868589","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phreatobacteraceae","Phreatobacter","Phreatobacter cathodiphilus"
"t1281","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus carnosus"
"t2518343","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. JMULE5"
"t531813","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Pelagibacterium","Pelagibacterium halotolerans"
"t2086577","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Lysinibacillus","Lysinibacillus timonensis"
"t2740462","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter mali"
"t1777059","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Mosigvirus","Mosigvirus Escherichia phage phiE142"
"t348043","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces davaonensis"
"t2360","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Ruthia","Candidatus Ruthia Bathymodiolus thermophilus thioautotrophic gill symbiont"
"t1602","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Companilactobacillus","Companilactobacillus alimentarius"
"t1711","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas flavigena"
"t642780","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Marmoricola","Marmoricola scoriae"
"t340345","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Actinoalloteichus","Actinoalloteichus hymeniacidonis"
"t1084","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Pararhodospirillum","Pararhodospirillum photometricum"
"t35554","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Geobacter sulfurreducens"
"t2594883","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Radiobacillus","Radiobacillus deserti"
"t225084","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix","Erysipelothrix inopinata"
"t985762","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus agnetis"
"t2175864","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. NHF165"
"t44935","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas venusta"
"t2419773","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus allomyrinae"
"t712036","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella dokdonensis"
"t701042","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium marseillense"
"t43657","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas luteoviolacea"
"t367477","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. XT11"
"t1867","Bacteria","Actinobacteria","Actinomycetia","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes teichomyceticus"
"t155892","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter","Caulobacter vibrioides"
"t1850374","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Ancylobacter","Ancylobacter sp. TS-1"
"t556","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya","Dickeya chrysanthemi"
"t2708346","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Jeotgalicoccus","Jeotgalicoccus sp. WY2"
"t2708082","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Mumia","Mumia sp. ZJ1417"
"t2745198","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Metabacillus","Metabacillus sp. KUDC1714"
"t2039166","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. 6424"
"t227866","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus tequilensis"
"t1630141","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus Nitrosoglobus","Candidatus Nitrosoglobus terrae"
"t1176646","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas daechungensis"
"t2269374","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus terrae"
"t2080419","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus sp. NW-56"
"t880","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Maridesulfovibrio","Maridesulfovibrio salexigens"
"t739141","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium","Methylobacterium sp. XJLW"
"t2777983","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","Paenibacillus sp. JNUCC-31"
"t1505026","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Phietavirus","Phietavirus Staphylococcus phage 3MRA"
"t2072407","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas sp. YAU14D1_LEIMI4_1"
"t97477","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Acetomicrobium","Acetomicrobium mobile"
"t1906742","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. BH-3-3-3"
"t28173","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio nigripulchritudo"
"t2591606","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae","Microbulbifer","Microbulbifer sp. GL-2"
"t2653853","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. SCB32"
"t38986","Bacteria","Tenericutes","Mollicutes","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Acholeplasma palmae"
"t1395624","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Francisellaceae","Francisella","Francisella sp. LA112445"
"t196162","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Nocardioides sp. JS614"
"t2745947","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma sp. KUDC1026"
"t2732775","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Autographiviridae","Apdecimavirus","Apdecimavirus Yersinia virus AP10"
"t1670641","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Cytobacillus","Cytobacillus ciccensis"
"t1549858","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas taxi"
"t5821","Eukaryota","Apicomplexa","Aconoidasida","Haemosporida","Plasmodiidae","Plasmodium","Plasmodium berghei"
"t2774875","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Variovorax sp. 38R"
"t1416806","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella genomosp. 8"
"t2816956","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas sp. zg-ZUI222"
"t1706820","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema sp. OMZ 806"
"t1019","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Capnocytophaga sputigena"
"t2789740","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp. JBR3-12"
"t1407","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Peribacillus","Peribacillus psychrosaccharolyticus"
"t2838877","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium sp. ZHDP1"
"t197222","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Paraglaciecola","Paraglaciecola mesophila"
"t1720500","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage slur07"
"t2109593","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. SGAir0924"
"t1305708","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae","Cornellvirus","Cornellvirus Clostridium phage vB_CpeS-CP51"
"t55209","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea","Pantoea cypripedii"
"t2058135","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Olleya","Olleya sp. Bg11-27"
"t112234","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium joostei"
"t1448276","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",""," Streptococcus phage IC1"
"t1690815","Bacteria","Actinobacteria","Actinomycetia","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. HH130630-07"
"t2675053","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiosulfativibrio","Thiosulfativibrio zosterae"
"t2733987","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Demerecviridae","Tequintavirus","Tequintavirus Escherichia virus phiLLS"
"t652787","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter","Mucilaginibacter mallensis"
"t266749","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Kaistella","Kaistella jeonii"
"t2733989","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Demerecviridae","Tequintavirus","Tequintavirus Salmonella virus S131"
"t117157","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Actinopolymorphaceae","Actinopolymorpha","Actinopolymorpha singaporensis"
"t1176587","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Niabella","Niabella ginsenosidivorans"
"t1192162","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Chromobacteriaceae","Vogesella","Vogesella sp. LIG4"
"t1567453","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Siphoviridae",""," Lactobacillus phage LfeSau"
"t1241979","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Kaistella","Kaistella carnis"
"t104102","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter tropicalis"
"t2683967","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma","Mycoplasma sp. NEAQ87857"
"t68909","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus geothermalis"
"t126385","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia alcalifaciens"
"t2490858","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Staphylospora","Staphylospora marina"
"t1906274","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. JZ31"
"t2812560","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","Conexibacter","Conexibacter sp. SYSU D00693"
"t138851","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Treponemataceae","Treponema","Treponema parvum"
"t1230998","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium frankenforstense"
"t196024","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas dhakensis"
"t1727164","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter sp. PACM 27299"
"t1445505","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Gynuella","Gynuella sunshinyii"
"t1815590","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Tequatrovirus","Tequatrovirus Escherichia phage vB_EcoM-UFV13"
"t1892569","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Myoviridae","Karamvirus","Karamvirus Cronobacter phage Pet-CM3-4"
