"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t54308","Bacteria","Cyanobacteria","Gloeobacteria","Pleurocapsales","Hyellaceae","Pleurocapsa","Pleurocapsa minor"
"t2713321","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Drexlerviridae","Hanrivervirus","Hanrivervirus Salmonella phage slyngel"
"t911045","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Pseudovibrio","Pseudovibrio sp. FO-BEG1"
"t943830","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Tardiphaga","Tardiphaga robiniae"
"t33047","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bartonellaceae","Bartonella","Bartonella vinsonii"
"t1184","Bacteria","Cyanobacteria","","Synechococcales","Leptolyngbyaceae","Leptolyngbya","Leptolyngbya boryana"
"t2496865","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter","Maribacter sp. MJ134"
"t1390185","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas sp. DL-6"
"t146826","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halorhabdus","Halorhabdus utahensis"
"t2675054","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiosulfatimonas","Thiosulfatimonas sediminis"
"t463014","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella flabilis"
"t405","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Methylophilaceae","Methylobacillus","Methylobacillus flagellatus"
"t2804758","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Microbacteriaceae","Curtobacterium","Curtobacterium sp. 24E2"
"t2834406","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. RC3H12"
"t37769","Eukaryota","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Cryptococcus","Cryptococcus gattii VGI"
"t2684405","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium sp. 4H37-19"
"t53952","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus peptonophilus"
"t1223566","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp. CCGE-LA001"
"t1564506","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Rhodovulum sp. P5"
"t2814292","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. FJAT-53720"
