"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.UK","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"92","Macrococcus",0.00660289183373413,0.023662773936329,"Macrococcus","India",21,247,8.5,0,0.2,"UK",0,39,0,0,0,0.0901976978333134,0.167714148348934,8.5,TRUE,127,0,"ns",-0.970296759621168,-1.00946400944319,-0.707359698625428,0.123546955633151,4.73804111615857,0.0227018935376425,0.487179487351089,0.496040290026281,0.631299436295071,0.498185946977161,0.648480540498757,0.034,0,0.034,0.9375,0.875,0.9375
"93","Marinococcus",0.00330626331893792,0.0104084630534382,"Marinococcus","India",16,247,6.5,0,0.2,"UK",0,39,0,0,0,0.140321631218602,0.237958097913718,6.5,TRUE,154,0,"ns",-0.985587330202288,-1.01602145507634,-0.776646412672162,0.200363672240698,4.72129365302908,0.0364548259023804,0.481377653433061,0.485502444694463,0.62089931984633,0.519747502352665,0.665418597907629,0.022,0,0.022,0.9375,0.875,0.9375
"94","Marmoricola",0.00320409911155555,0.00828295301608762,"Marmoricola","India",14,247,5.7,0.1,0.6,"UK",0,39,0,0,0,0.229055782265263,0.318133030923976,5.7,TRUE,156,0,"ns",-1.04245695254603,-1.08923592104423,-0.72158222168764,0.2983137338085,4.67094004065972,0.0567984106511116,0.468349359399425,0.531561498113904,0.664440481851622,0.472773916024522,0.625617408012469,0.06,0,0.06,0.9375,0.875,0.9375
"95","Massilia",0.0308201314079195,0.0831072555014555,"Massilia","India",45,247,18.2,0.3,2.6,"UK",1,39,2.6,0,0,0.00930491741717523,0.0361857899556815,15.6,TRUE,55,0,"India",-0.542675161956883,-0.522741915261665,-0.677158482969881,-0.385042939038112,5.7243928168306,-0.0622564586425062,0.465358430581371,0.190541028821086,0.308820383418827,0.434801478057297,0.594684543460619,0.375,0.003,0.372,0.9375,0.875,0.9375
"96","Methylobacterium",0.019636424575255,0.0381974437030278,"Methylobacterium","India",35,247,14.2,0.1,0.5,"UK",7,39,17.9,0,0.1,0.625386841728996,0.724786074851485,-3.7,FALSE,77,0,"ns",-0.605404992547745,-0.722656703314907,0.175623686348873,0.951125032979949,6.55659595278496,0.124171454930767,0.428514218035846,0.318045883477935,0.456245353207474,0.231816305777282,0.383740980828967,0.088,0.019,0.069,0.9375,0.875,0.9375
"97","Microbacterium",0.0114989193589064,0.0276317661151898,"Microbacterium","India",29,247,11.7,0.1,0.3,"UK",0,39,0,0,0,0.0196112289628126,0.0562617224342985,11.7,TRUE,97,0,"ns",-0.828348153270287,-0.845472604287785,-0.695939475573701,-0.120955248230876,5.02961771726624,-0.0188947137433823,0.489983974493003,0.3899367035514,0.525346166148926,0.537057854744124,0.68235156084422,0.061,0,0.061,0.9375,0.875,0.9375
"98","Micrococcus",0.323442435749238,0.596443404668964,"Micrococcus","India",175,247,70.9,1.1,2,"UK",10,39,25.6,0.1,0.3,1.08013429395759e-07,4.72558753606444e-06,45.3,TRUE,6,1,"India",7.96972593501904,8.29590666118145,0.406895103595021,-6.45522002888534,8.71415144982262,-0.655556122085018,0.281137368456307,6.12148106032867e-06,0.000196149687092849,1.64993393554491e-05,0.00038216626483532,1.123,0.122,1.001,0.9375,0.875,0.9375
"99","Microvirga",0.00560666432898516,0.0171246720445066,"Microvirga","India",16,247,6.5,0.1,0.3,"UK",0,39,0,0,0,0.140321631218602,0.237958097913718,6.5,TRUE,139,0,"ns",-1.03585902621363,-1.08611028429156,-0.683773570313756,0.276040947337473,4.65678232110551,0.0499471038625737,0.472166600293065,0.512524724933855,0.645060784039873,0.465356461812704,0.617671482489019,0.05,0,0.05,0.9375,0.875,0.9375
"100","Moraxella",0.0142471033594384,0.0293367281018878,"Moraxella","India",55,247,22.3,0.3,1.3,"UK",7,39,17.9,0.1,0.4,0.677209197732877,0.769555906514633,4.4,TRUE,90,0,"ns",-0.240578600458432,-0.285580902215381,0.0246443183516636,0.243522913157005,7.71070393534093,0.026794166871688,0.481169872047103,0.647520599110119,0.766840091988167,0.57552275967156,0.723321548021886,0.263,0.131,0.132,0.9375,0.875,0.9375
"101","Neisseria",0.0229323873026329,0.0434374933563812,"Neisseria","India",42,247,17,0.1,0.6,"UK",10,39,25.6,0.4,1.2,0.187967080124758,0.296344495692187,-8.6,FALSE,70,0,"ns",-0.415953005149968,-0.515511833328217,0.384286289272389,1.20093374986427,8.04263847438695,0.142133776329038,0.418101723191259,0.109627194470214,0.223197899328236,0.172725449051722,0.312498664938177,0.139,0.408,-0.269,0.9375,0.875,0.9375
