feature_id	feature	feature description	feature_full
g169	1.1.3.21	Glycerol-3-phosphate oxidase	Glycerol-3-phosphate_oxidase_(1.1.3.21)
g170	1.1.3.46	4-hydroxymandelate oxidase	4-hydroxymandelate_oxidase_(1.1.3.46)
g171	1.1.3.6	Cholesterol oxidase	Cholesterol_oxidase_(1.1.3.6)
g172	1.1.5.12	NO NAME	NO_NAME_(1.1.5.12)
g173	1.1.5.2	Quinoprotein glucose dehydrogenase (PQQ, quinone)	Quinoprotein_glucose_dehydrogenase_(PQQ,_quinone)_(1.1.5.2)
g174	1.1.5.3	Glycerol-3-phosphate dehydrogenase	Glycerol-3-phosphate_dehydrogenase_(1.1.5.3)
g175	1.1.5.4	Malate dehydrogenase (quinone)	Malate_dehydrogenase_(quinone)_(1.1.5.4)
g176	1.1.5.8	Quinate dehydrogenase (quinone)	Quinate_dehydrogenase_(quinone)_(1.1.5.8)
g177	1.1.98.2	Glucose-6-phosphate dehydrogenase (coenzyme-F420)	Glucose-6-phosphate_dehydrogenase_(coenzyme-F420)_(1.1.98.2)
g178	1.1.98.6	NO NAME	NO_NAME_(1.1.98.6)
g179	1.1.99.14	Glycolate dehydrogenase	Glycolate_dehydrogenase_(1.1.99.14)
g180	1.1.99.1	Choline dehydrogenase	Choline_dehydrogenase_(1.1.99.1)
g181	1.1.99.25	Transferred entry	Transferred_entry_(1.1.99.25)
g182	1.1.99.28	Glucose-fructose oxidoreductase	Glucose-fructose_oxidoreductase_(1.1.99.28)
g183	1.1.99.30	2-oxo-acid reductase	2-oxo-acid_reductase_(1.1.99.30)
g184	1.1.99.31	(S)-mandelate dehydrogenase	(S)-mandelate_dehydrogenase_(1.1.99.31)
g185	1.1.99.33	Formate dehydrogenase (acceptor)	Formate_dehydrogenase_(acceptor)_(1.1.99.33)
g186	1.1.99.35	Soluble quinoprotein glucose dehydrogenase	Soluble_quinoprotein_glucose_dehydrogenase_(1.1.99.35)
g187	1.1.99.38	2-deoxy-scyllo-inosamine dehydrogenase (AdoMet-dependent)	2-deoxy-scyllo-inosamine_dehydrogenase_(AdoMet-dependent)_(1.1.99.38)
g188	1.1.99.3	Gluconate 2-dehydrogenase (acceptor)	Gluconate_2-dehydrogenase_(acceptor)_(1.1.99.3)
g189	1.10.2.2	Quinol--cytochrome-c reductase	Quinol--cytochrome-c_reductase_(1.10.2.2)
g190	1.10.3.10	Ubiquinol oxidase (H(+)-transporting)	Ubiquinol_oxidase_(H(+)-transporting)_(1.10.3.10)
g191	1.10.3.14	Ubiquinol oxidase (electrogenic, non H(+)-transporting)	Ubiquinol_oxidase_(electrogenic,_non_H(+)-transporting)_(1.10.3.14)
g192	1.10.3.9	Photosystem II	Photosystem_II_(1.10.3.9)
g193	1.10.9.1	Plastoquinol--plastocyanin reductase	Plastoquinol--plastocyanin_reductase_(1.10.9.1)
g194	1.11.1.10	Chloride peroxidase	Chloride_peroxidase_(1.11.1.10)
g195	1.11.1.15	Peroxiredoxin	Peroxiredoxin_(1.11.1.15)
g196	1.11.1.18	Bromide peroxidase	Bromide_peroxidase_(1.11.1.18)
g197	1.11.1.1	NADH peroxidase	NADH_peroxidase_(1.11.1.1)
g198	1.11.1.21	Catalase peroxidase	Catalase_peroxidase_(1.11.1.21)
g199	1.11.1.5	Cytochrome-c peroxidase	Cytochrome-c_peroxidase_(1.11.1.5)
g200	1.11.1.6	Catalase	Catalase_(1.11.1.6)
g201	1.11.1.7	Peroxidase	Peroxidase_(1.11.1.7)
g202	1.11.1.9	Glutathione peroxidase	Glutathione_peroxidase_(1.11.1.9)
g203	1.11.2.3	Plant seed peroxygenase	Plant_seed_peroxygenase_(1.11.2.3)
