"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X14e2b413a5323d6df171b3834b56b20a","Bacteroides (RSV96)",1,NA,0,NA,4,NA,NA,FALSE
"X920a077b51fa752f2ab5f13e1f80b69a","Succinivibrio (RSV97)",11,0.99296726602025,38,0.534414413526958,2,NA,0.534414413526958,FALSE
"X6f323da0eca605b133f3270f331d52fa","Lactobacillus (RSV98)",82,0.999999995088881,19,0.928251276928572,14,0.996001453088555,0.928251276928572,FALSE
"X8f6964be04dc2a2b5bfbaa4579311ab5","Staphylococcus (RSV99)",278,0.999999999999997,69,0.998185674055363,8,NA,0.998185674055363,FALSE
"Xc016d7dfa3b6d4108112ec0a5fc2b5c5","Megamonas (RSV100)",15,0.949864341061774,14,0.719487476247768,1,NA,0.719487476247768,FALSE
"Xd4e740bc5c2587cbbb188e8e30026611","Corynebacterium_1 (RSV101)",449,1,146,0.999382847238653,69,0.999999999999983,0.999382847238653,FALSE
"Xbbae6ed124f4d6b48435a964a95c8418","Faecalibacterium (RSV102)",33,0.999830030813253,45,0.999984195832669,10,0.834662051158074,0.834662051158074,FALSE
"Xe56cc5411512d332d51ca84ccc099402","Succinivibrio (RSV103)",11,0.997791073097419,47,0.997179265745433,0,NA,0.997179265745433,FALSE
"X98fcc7e4135d41152d2db711de5c1255","Bacteroides (RSV104)",2,NA,29,0.728057352546577,3,NA,0.728057352546577,FALSE
"X94e5c426709e3731d622c6d2e11c965e","Staphylococcus (RSV105)",289,0.999999999999994,56,0.943009914311761,13,0.999828252648507,0.943009914311761,FALSE
"Xb02d039dbcdd89fbba689da4ba2a58fd","Streptococcus (RSV106)",155,0.993870574408649,20,0.840852566773936,17,0.999999913473611,0.840852566773936,FALSE
"Xbb071962d981f185a79067a07d38afa2","Acinetobacter (RSV107)",299,0.999999999492999,81,0.999820313219636,0,NA,0.999820313219636,FALSE
"Xf8e20bea6e9df8d119a0d801a3b17e7e","Lactobacillus (RSV108)",4,NA,1,NA,11,0.786329442110554,0.786329442110554,FALSE
"Xcb1173735acb993e45afcb567fbf1083","unassigned Proteobacteria (RSV109)",8,NA,0,NA,0,NA,NA,FALSE
"X7a5b875cf99ddb93b84ed03d5105530d","Enterobacter (RSV110)",82,0.994296585065006,16,0.703408358717135,17,0.995695555054531,0.703408358717135,FALSE
"Xa8a85a39b353253ce68e687bf6c36e3e","Staphylococcus (RSV111)",198,0.999999951496941,7,NA,8,NA,0.999999951496941,FALSE
