"","Estimate","Std.Error","pvalue","method","genus","padj","signif","pscale","n_tested","failed_convergence","nsamples_country1","nsamples_country2","ninfants_country1","ninfants_country2","comparison"
"Senegalimassilia1",-1.685,0.379,1.6e-05,"zinb","Senegalimassilia",7.2e-05,"MLW",4.14266750356873,45,0,285,226,107,60,"MLW-UK"
"Atopobium2",-0.817,0.553,0.14,"zinb","Atopobium",0.185294117647059,"ns",0.732138367588673,45,0,285,226,107,60,"MLW-UK"
"Actinomyces2",-0.062,0.482,0.9,"zinb","Actinomyces",0.985714285714286,"ns",0.00624894927700149,45,0,285,226,107,60,"MLW-UK"
"Lawsonella1",-2.563,0.651,0.00012,"zinb","Lawsonella",0.000385714285714286,"MLW",3.41373427585527,45,0,285,226,107,60,"MLW-UK"
"Finegoldia2",-1.589,0.474,0.001,"zinb","Finegoldia",0.00225,"MLW",2.64781748188864,45,0,285,226,107,60,"MLW-UK"
"Ezakiella1",-1.878,0.621,0.0029,"zinb","Ezakiella",0.00567391304347826,"MLW",2.24611732434329,45,0,285,226,107,60,"MLW-UK"
"Eggerthella1",1.588,0.225,4.4e-11,"zinb","Eggerthella",6.6e-10,"UK",9.18045606445813,45,0,285,226,107,60,"MLW-UK"
"Dolosigranulum2",-3.331,0.569,2.5e-08,"zinb","Dolosigranulum",2.25e-07,"MLW",6.64781748188864,45,0,285,226,107,60,"MLW-UK"
"Anaerococcus2",-1.756,0.456,0.00017,"zinb","Anaerococcus",0.000478125,"MLW",3.32045854750231,45,0,285,226,107,60,"MLW-UK"
"unassigned_Saccharimonadales1",0.021,0.496,0.97,"zinb","unassigned_Saccharimonadales",1,"ns",0,45,0,285,226,107,60,"MLW-UK"
"Negativicoccus2",-0.869,0.499,0.083,"zinb","Negativicoccus",0.11671875,"ns",0.932859372168488,45,0,285,226,107,60,"MLW-UK"
"Prevotella2",-2.316,0.569,7.3e-05,"zinb","Prevotella",0.000252692307692308,"MLW",3.59740797841104,45,0,285,226,107,60,"MLW-UK"
"Peptoniphilus2",-1.746,0.497,0.00058,"zinb","Peptoniphilus",0.00144473684210526,"MLW",2.84021125216672,45,0,285,226,107,60,"MLW-UK"
