"","feature_id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"28","t1328","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus anginosus","Streptococcus anginosus",0.018417,0.075042,93.5,0.019458,0.081775,94,0.013338,0.021785,91.4
"130","t2584944","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Sutterella","Sutterella faecalis","Sutterella faecalis",0.018378,0.186144,23.5,0.021541,0.204211,19.1,0.002947,0.008536,44.8
"209","t546","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter freundii","Citrobacter freundii",0.017467,0.087882,85,0.016603,0.091198,84.1,0.021681,0.069989,89.7
"105","t208962","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia albertii","Escherichia albertii",0.017301,0.227657,80.1,0.019025,0.249677,78.4,0.008888,0.02548,87.9
"231","t712623","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 061","Streptococcus sp. oral taxon 061",0.017208,0.070475,93.8,0.012307,0.04392,94,0.041117,0.139218,93.1
"201","t470","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","Acinetobacter baumannii",0.017016,0.083847,47.5,0.009861,0.044688,40.3,0.051922,0.17482,82.8
"210","t548","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella aerogenes","Klebsiella aerogenes",0.016333,0.115818,66.9,0.019304,0.126907,66.8,0.001838,0.008645,67.2
"43","t1491","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium botulinum","Clostridium botulinum",0.016224,0.226326,61,0.004076,0.02725,58.3,0.075502,0.545493,74.1
"50","t1522","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","Erysipelatoclostridium [Clostridium] innocuum","Erysipelatoclostridium [Clostridium] innocuum",0.016203,0.156331,55.4,0.019156,0.171489,54.4,0.001791,0.005434,60.3
"90","t1871022","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parolsenella","Parolsenella massiliensis","Parolsenella massiliensis",0.015652,0.100523,38.4,0.006892,0.035602,31.4,0.058391,0.227518,72.4
"229","t69966","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Macrococcus","Macrococcus caseolyticus","Macrococcus caseolyticus",0.015643,0.256928,19.4,0.01882,0.28201,19.1,0.00014,0.000436,20.7
"64","t1623","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus ruminis","Ligilactobacillus ruminis",0.015394,0.13927,25.5,0.017894,0.152443,24.7,0.003193,0.023318,29.3
"122","t2479767","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia sp. SC05B48","Blautia sp. SC05B48",0.014532,0.114873,49,0.015699,0.124995,45.2,0.00884,0.037078,67.2
"173","t328814","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","Alistipes shahii",0.014372,0.181654,19.4,0.015843,0.199134,14.1,0.007197,0.024145,44.8
"232","t712633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. oral taxon 431","Streptococcus sp. oral taxon 431",0.013987,0.055527,95.3,0.009356,0.036841,96.1,0.036586,0.10512,91.4
"70","t1660","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia odontolytica","Schaalia odontolytica",0.013891,0.055451,73.9,0.011612,0.05161,72.8,0.025014,0.070794,79.3
"140","t2690837","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Eggerthella","Eggerthella sp. HF-1101","Eggerthella sp. HF-1101",0.013613,0.165348,32.3,0.016226,0.181446,27.6,0.000862,0.001339,55.2
"119","t2420310","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. FDAARGOS_522","Streptococcus sp. FDAARGOS_522",0.013521,0.056652,22.6,0.011711,0.041903,23.7,0.022353,0.10179,17.2
"75","t1683","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium angulatum","Bifidobacterium angulatum",0.013493,0.028082,97.1,0.014359,0.030018,97.2,0.009267,0.014961,96.6
"80","t1736","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium limosum","Eubacterium limosum",0.012725,0.091077,54.8,0.013614,0.097945,54.1,0.008384,0.044658,58.6
"6","t1156431","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2","Streptococcus sp. I-G2",0.012368,0.026047,93.3,0.009564,0.012321,94.3,0.02605,0.055375,87.9
"160","t28132","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella melaninogenica","Prevotella melaninogenica",0.012209,0.085486,52.2,0.007237,0.064914,46.6,0.036471,0.148397,79.3
"237","t756892","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter indicus","Acinetobacter indicus",0.012107,0.122195,39.9,0.000566,0.003074,35.3,0.068422,0.291772,62.1
"71","t166486","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia intestinalis","Roseburia intestinalis",0.011812,0.059789,56.9,0.01277,0.064306,54.4,0.007136,0.02894,69
"117","t2382163","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus koreensis","Streptococcus koreensis",0.011485,0.030884,91.2,0.008131,0.014187,91.9,0.02785,0.06607,87.9
"34","t1353","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus gallinarum","Enterococcus gallinarum",0.011239,0.064842,19.6,0.013494,0.070986,21.6,0.000238,0.000983,10.3
"7","t1156433","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-P16","Streptococcus sp. I-P16",0.011222,0.031872,91.8,0.007212,0.011289,92.6,0.03079,0.070424,87.9
"99","t2026240","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella quasivariicola","Klebsiella quasivariicola",0.010617,0.119995,40.5,0.001884,0.011366,41,0.053228,0.288137,37.9
"144","t2715212","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CBA7301","Bacteroides sp. CBA7301",0.010527,0.098894,35.5,0.009229,0.105869,30.7,0.016862,0.053266,58.6
"196","t410072","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus comes","Coprococcus comes",0.010506,0.063461,51.9,0.008402,0.041194,48.1,0.020771,0.12449,70.7
"185","t37734","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus casseliflavus","Enterococcus casseliflavus",0.010482,0.138336,40.5,0.012336,0.151787,41.7,0.00144,0.008077,34.5
"92","t1912897","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia argi","Blautia argi",0.010427,0.064157,35.8,0.012243,0.070291,35,0.001564,0.003448,39.7
"206","t53442","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium callanderi","Eubacterium callanderi",0.010346,0.120348,12,0.004748,0.041364,10.6,0.037664,0.277515,19
"120","t2420313","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus sp. FDAARGOS_553","Enterococcus sp. FDAARGOS_553",0.010242,0.073979,19.9,0.012021,0.080989,21.2,0.00156,0.010084,13.8
"221","t622","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella dysenteriae","Shigella dysenteriae",0.010101,0.017543,74.8,0.00943,0.017322,73.5,0.013379,0.018392,81
"102","t2079596","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. SWBY1","Acinetobacter sp. SWBY1",0.009923,0.103921,11.7,1.4e-05,0.000104,2.5,0.058269,0.248097,56.9
"127","t257758","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pseudopneumoniae","Streptococcus pseudopneumoniae",0.009865,0.021229,93.8,0.008381,0.018611,94.3,0.017109,0.030169,91.4
"128","t2582419","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister hominis","Dialister hominis",0.009825,0.11719,15.2,0.010229,0.126664,14.8,0.007855,0.050399,17.2
"37","t1379","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Gemella","Gemella haemolysans","Gemella haemolysans",0.00939,0.025294,88.6,0.008543,0.02368,89.8,0.013524,0.031953,82.8
"179","t33959","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus johnsonii","Lactobacillus johnsonii",0.009056,0.030282,49,0.008062,0.029433,48.1,0.013905,0.03399,53.4
"194","t40520","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia obeum","Blautia obeum",0.008938,0.079899,49.3,0.010086,0.087585,48.1,0.003334,0.009426,55.2
"86","t1813821","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Shigella","Shigella sp. PAMC 28760","Shigella sp. PAMC 28760",0.008843,0.090014,1.5,0.009867,0.097925,1.4,0.003847,0.029294,1.7
"22","t1314","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes","Streptococcus pyogenes",0.008758,0.025115,86.8,0.009367,0.026698,89,0.005786,0.015007,75.9
"125","t2528203","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. A1C1","Bacteroides sp. A1C1",0.008746,0.052875,23.8,0.006799,0.055282,18.7,0.018247,0.03803,48.3
"56","t1584","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus delbrueckii","Lactobacillus delbrueckii",0.008643,0.104136,40.2,0.010344,0.114268,40.3,0.00034,0.00116,39.7
"82","t1759399","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. A12","Streptococcus sp. A12",0.008442,0.023776,94.4,0.005436,0.008215,94,0.023109,0.052671,96.6
"38","t1382","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella parvula","Lancefieldella parvula",0.008431,0.032505,37,0.006266,0.022343,33.2,0.018997,0.060793,55.2
"2","t108981","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter schindleri","Acinetobacter schindleri",0.008325,0.118349,28.2,0.000832,0.006923,21.2,0.044886,0.285782,62.1
"101","t2058152","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella grimontii","Klebsiella grimontii",0.00832,0.030039,42.5,0.008689,0.029652,44.2,0.006517,0.032069,34.5
"155","t28111","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides eggerthii","Bacteroides eggerthii",0.008294,0.044752,39.9,0.007366,0.047156,35.7,0.012824,0.030329,60.3
"188","t39488","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum hallii","Anaerobutyricum hallii",0.008159,0.057863,42.8,0.008645,0.062369,41,0.00579,0.026832,51.7
"134","t2650157","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides zhangwenhongi","Bacteroides zhangwenhongi",0.008128,0.082826,30.5,0.007465,0.090296,23.3,0.011362,0.023859,65.5
"106","t2093856","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas faecalis","Butyricimonas faecalis",0.008063,0.038479,29,0.003676,0.022455,23,0.029469,0.075996,58.6
"135","t2650158","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides luhongzhouii","Bacteroides luhongzhouii",0.008006,0.037248,29.9,0.006135,0.03502,24.7,0.017131,0.045895,55.2
"39","t1433513","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus gwangjuense","Streptococcus gwangjuense",0.007921,0.017216,93,0.007052,0.016376,94.3,0.012164,0.020475,86.2
"161","t28141","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter","Cronobacter sakazakii","Cronobacter sakazakii",0.007916,0.080252,37.8,0.009284,0.087984,40.3,0.001238,0.007919,25.9
"224","t626932","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes indistinctus","Alistipes indistinctus",0.007652,0.092178,17.3,0.00195,0.02249,11.7,0.035476,0.217327,44.8
"147","t2755405","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides sp. CACC 737","Bacteroides sp. CACC 737",0.007605,0.046456,24.6,0.006077,0.046277,19.1,0.01506,0.047012,51.7
"111","t2161821","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister massiliensis","Dialister massiliensis",0.007307,0.114969,11.4,0.008091,0.125795,11.3,0.003483,0.023149,12.1
"14","t1283","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus haemolyticus","Staphylococcus haemolyticus",0.00714,0.038621,76.2,0.003356,0.011207,76.7,0.025607,0.088644,74.1
"175","t33035","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia producta","Blautia producta",0.006948,0.048408,68.6,0.007913,0.053043,68.2,0.00224,0.005556,70.7
"171","t328812","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides goldsteinii","Parabacteroides goldsteinii",0.006611,0.068987,24.3,0.00183,0.010368,18,0.029936,0.164892,55.2
"8","t116085","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus catus","Coprococcus catus",0.006391,0.031017,39.9,0.006739,0.03355,36.7,0.004697,0.012893,55.2
"205","t47770","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus","Lactobacillus crispatus",0.006269,0.065303,32,0.006815,0.071175,31.8,0.003607,0.019107,32.8
"10","t1260","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia","Finegoldia magna","Finegoldia magna",0.006213,0.026828,78.9,0.004914,0.018189,76.7,0.012552,0.05106,89.7
"163","t2823317","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium sp. Marseille-Q4147","Phascolarctobacterium sp. Marseille-Q4147",0.005851,0.074082,39.3,0.000895,0.002536,35.7,0.030031,0.178852,56.9
"230","t70346","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter variabilis","Acinetobacter variabilis",0.005848,0.05827,18.2,0.001024,0.010711,9.5,0.029386,0.137864,60.3
"180","t34062","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Moraxella osloensis","Moraxella osloensis",0.0058,0.047512,44.9,0.000865,0.005721,39.6,0.029878,0.112217,70.7
"79","t169679","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharobutylicum","Clostridium saccharobutylicum",0.005779,0.087542,17,0.001041,0.009534,17,0.028897,0.211205,17.2
"68","t1639133","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter portucalensis","Citrobacter portucalensis",0.005684,0.039135,34.6,0.004801,0.037379,35.3,0.00999,0.046907,31
"30","t1335613","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter urolithinfaciens","Gordonibacter urolithinfaciens",0.005667,0.038239,36.1,0.0064,0.041892,32.2,0.002093,0.004884,55.2
"202","t471189","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter pamelaeae","Gordonibacter pamelaeae",0.005597,0.016527,42.2,0.005569,0.017593,38.5,0.005734,0.009905,60.3
"81","t1748967","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter cronae","Citrobacter cronae",0.00555,0.050387,11.1,0.006549,0.055262,11.3,0.000676,0.002523,10.3
"63","t161879","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium kroppenstedtii","Corynebacterium kroppenstedtii",0.00552,0.053373,54.5,0.006563,0.058547,59.7,0.000429,0.001421,29.3
"46","t1499973","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia","Escherichia marmotae","Escherichia marmotae",0.005462,0.053751,76.2,0.002056,0.004006,75.6,0.022083,0.129674,79.3
"83","t1796613","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caecimuris","Bacteroides caecimuris",0.005462,0.023956,29.6,0.004361,0.023859,24.4,0.010833,0.023903,55.2
"97","t2015795","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella sp. LY","Klebsiella sp. LY",0.005322,0.028003,14.4,0.005843,0.030243,15.2,0.002783,0.012026,10.3
"251","t97478","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus mucosae","Limosilactobacillus mucosae",0.005316,0.056263,26.4,0.001243,0.00843,24.4,0.025184,0.134336,36.2
"116","t2364787","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes megaguti","Alistipes megaguti",0.005077,0.031624,20.5,0.003634,0.025878,15.2,0.012122,0.050908,46.6
"219","t61645","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter asburiae","Enterobacter asburiae",0.005045,0.038575,48.1,0.004031,0.031686,48.4,0.009993,0.062281,46.6
"124","t2500542","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella sp. SSDFZ54","Salmonella sp. SSDFZ54",0.005005,0.059962,6.7,0.006026,0.065794,7.8,2.2e-05,0.000171,1.7
"186","t387090","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Phocaeicola","Phocaeicola coprophilus","Phocaeicola coprophilus",0.004787,0.027687,28.2,0.004584,0.029368,22.6,0.005776,0.017445,55.2
"159","t28131","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella intermedia","Prevotella intermedia",0.00478,0.024615,43.7,0.002572,0.016865,37.1,0.015552,0.045439,75.9
"103","t208224","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter kobei","Enterobacter kobei",0.004674,0.024953,58.9,0.004271,0.0236,59.4,0.006641,0.030885,56.9
"227","t67827","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter werkmanii","Citrobacter werkmanii",0.004542,0.042147,30.5,0.005213,0.046197,31.1,0.001264,0.004963,27.6
"181","t35703","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter amalonaticus","Citrobacter amalonaticus",0.004495,0.025688,39,0.005155,0.028074,39.9,0.001276,0.004895,34.5
"191","t39950","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Dialister","Dialister pneumosintes","Dialister pneumosintes",0.004328,0.021103,41.3,0.004583,0.022135,39.6,0.003084,0.015181,50
"169","t301301","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia hominis","Roseburia hominis",0.004295,0.042787,35.2,0.004973,0.046945,31.1,0.00099,0.001867,55.2
"249","t901","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piger","Desulfovibrio piger",0.004233,0.050253,7.6,0.000856,0.011298,3.9,0.020707,0.11874,25.9
"248","t881260","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter bugandensis","Enterobacter bugandensis",0.004189,0.036358,23.8,0.004997,0.03987,26.9,0.000247,0.001333,8.6
"165","t287","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonas aeruginosa",0.003903,0.018745,56,0.002843,0.013668,52.3,0.009076,0.033748,74.1
"107","t2093857","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter welbionis","Dysosmobacter welbionis",0.003845,0.030811,17.3,0.00441,0.033731,16.3,0.001086,0.004939,22.4
"141","t2698804","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. CNU G3","Streptococcus sp. CNU G3",0.003816,0.022125,26.7,0.004552,0.024227,28.3,0.000228,0.000565,19
"129","t2582830","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus sp. M190262","Enterococcus sp. M190262",0.003748,0.025347,18.8,0.004388,0.027713,21.9,0.000626,0.004557,3.4
"207","t54005","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Peptoniphilus","Peptoniphilus harei","Peptoniphilus harei",0.003664,0.014612,67.2,0.003586,0.012395,67.8,0.004047,0.022658,63.8
"193","t40324","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas maltophilia","Stenotrophomonas maltophilia",0.003655,0.045057,44.9,0.002994,0.045325,39.9,0.006879,0.043966,69
"114","t223919","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium diolis","Clostridium diolis",0.003501,0.051653,2.9,0.000739,0.007818,2.5,0.016983,0.124053,5.2
"61","t1598","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus reuteri","Limosilactobacillus reuteri",0.003382,0.014377,58.9,0.00312,0.014761,60.1,0.00466,0.012374,53.4
"9","t1177574","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni","Prevotella jejuni",0.003346,0.021032,38.7,0.001654,0.013813,32.9,0.011602,0.040138,67.2
"154","t28090","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter lwoffii","Acinetobacter lwoffii",0.003288,0.027726,19.6,0.000207,0.001106,11.7,0.018319,0.065592,58.6
"131","t2585118","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes communis","Alistipes communis",0.00327,0.035634,21.7,0.003435,0.039018,15.2,0.002464,0.006449,53.4
"143","t2714355","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. MM50","Oscillibacter sp. MM50",0.00326,0.034519,27.9,0.003771,0.037872,24,0.000762,0.002041,46.6
"84","t1805478","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella timonensis","Olsenella timonensis",0.003255,0.018519,25.2,0.002752,0.018544,21.6,0.00571,0.01836,43.1
"72","t1667168","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Dermabacteraceae","Dermabacter","Dermabacter jinjuensis","Dermabacter jinjuensis",0.003254,0.023055,26.1,0.003716,0.025255,23,0.001,0.002967,41.4
"110","t2109687","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter sp. PEA192","Oscillibacter sp. PEA192",0.00319,0.020653,15.2,0.003329,0.021549,14.8,0.002516,0.015693,17.2
"225","t641107","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium sp. DL-VIII","Clostridium sp. DL-VIII",0.003168,0.044017,18.8,0.000784,0.006962,18,0.014803,0.1056,22.4
"162","t2823316","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena sp. Marseille-Q4148","Faecalicatena sp. Marseille-Q4148",0.003115,0.017409,37.5,0.003521,0.019054,36.4,0.001134,0.002608,43.1
"183","t36745","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium saccharoperbutylacetonicum","Clostridium saccharoperbutylacetonicum",0.003088,0.040009,34.6,0.000959,0.008783,33.9,0.013479,0.095047,37.9
"218","t604330","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Parafannyhessea","Parafannyhessea umbonata","Parafannyhessea umbonata",0.003037,0.017136,54,0.002971,0.018209,54.4,0.00336,0.010537,51.7
"89","t1852377","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces pacaensis","Actinomyces pacaensis",0.002995,0.01687,28.7,0.002417,0.014224,25.8,0.005816,0.026208,43.1
"132","t2596949","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter sp. E76","Enterobacter sp. E76",0.002899,0.039132,15.8,0.00339,0.042925,17,0.000503,0.003425,10.3
"145","t2722820","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces sp. ZJ34","Actinomyces sp. ZJ34",0.002898,0.028338,15.5,0.00318,0.030986,14.1,0.001524,0.006145,22.4
"234","t727","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Haemophilus","Haemophilus influenzae","Haemophilus influenzae",0.002862,0.02445,44.3,0.003008,0.026729,43.1,0.002152,0.005535,50
"67","t1636603","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. ACNIH1","Acinetobacter sp. ACNIH1",0.00283,0.026863,11.4,0.000346,0.003643,5.3,0.01495,0.063707,41.4
"151","t28025","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium animalis","Bifidobacterium animalis",0.002784,0.010856,92.4,0.002429,0.004072,94,0.004519,0.024843,84.5
