"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"1071","RSV62",0.00675466651275045,0.0139072105873364,"Streptococcus (RSV62)","India",5,0,282,0.0177304964539007,0,7.23404255319149e-06,6.4726156059676e-05,"Malawi",4,0,61,0.0655737704918033,0,1.9016393442623e-05,8.96233771221324e-05,0.0567335859521953,1,0.0852374165755205,1,NA,NA,-0.0478432740379026,0,FALSE,FALSE,236,0,"2","ns",0.895,0.0605112895385329
"453","RSV2235",0.00671134826097621,0.0142569040409061,"Brevundimonas (RSV2235)","India",0,0,282,0,0,0,0,"Malawi",6,0,61,0.0983606557377049,0,1.83606557377049e-05,6.75568976954205e-05,2.56539387003052e-05,1,0.000173442933386846,1,NA,NA,-0.0983606557377049,0,FALSE,FALSE,237,0,"2","ns",0.895,0.0605112895385329
"1051","RSV5973",0.00668222871814952,0.0145670891998462,"Negativicoccus (RSV5973)","India",0,0,282,0,0,0,0,"Malawi",5,1,61,0.0819672131147541,0.0163934426229508,7.47540983606557e-05,0.000319372335252429,0.000154839844298271,0.177842565597668,0.000659660158585785,1,NA,NA,-0.0819672131147541,-0.0163934426229508,FALSE,FALSE,238,0,"2","ns",0.895,0.0605112895385329
"393","RSV203",0.00666406321846977,0.0122671697078576,"Flavonifractor (RSV203)","India",14,4,282,0.049645390070922,0.0141843971631206,0.000528794326241135,0.0063227690536339,"Malawi",2,2,61,0.0327868852459016,0.0327868852459016,0.000634754098360656,0.00415240637324005,0.746839507757869,0.289926163153158,NA,NA,NA,NA,0.0168585048250203,-0.0186024880827811,TRUE,FALSE,239,0,"ns","ns",0.895,0.0605112895385329
"97","RSV1176",0.00662840391263332,0.0146868983025185,"Corynebacterium_1 (RSV1176)","India",10,0,282,0.0354609929078014,0,3.97163120567376e-06,2.53903176721639e-05,"Malawi",3,0,61,0.0491803278688525,0,3.9344262295082e-06,1.8910199058056e-05,0.709128532521384,1,NA,NA,NA,NA,-0.013719334961051,0,FALSE,FALSE,240,0,"ns","ns",0.895,0.0605112895385329
"141","RSV1265",0.00661871392739008,0.0124865139244867,"Parabacteroides (RSV1265)","India",6,1,282,0.0212765957446809,0.00354609929078014,3.60283687943262e-05,0.000493010043616698,"Malawi",5,1,61,0.0819672131147541,0.0163934426229508,0.000413770491803279,0.00318491348073718,0.0295017943818956,0.324484681090481,0.05069092846834,1,NA,NA,-0.0606906173700732,-0.0128473433321707,FALSE,FALSE,241,0,"2","ns",0.895,0.0605112895385329
"280","RSV163",0.00660458532390186,0.014093934641774,"Veillonella (RSV163)","India",21,19,282,0.074468085106383,0.0673758865248227,0.00192765957446809,0.0110695570247213,"Malawi",1,1,61,0.0163934426229508,0.0163934426229508,0.00144065573770492,0.0112518810085029,0.145102689606249,0.22230409775034,0.195354703322699,0,0.306876308851013,0,0.0580746424834322,0.0509824439018719,TRUE,TRUE,242,0,"ns","ns",0.895,0.0605112895385329
"615","RSV295",0.00655199045549864,0.0129903769453723,"Megamonas (RSV295)","India",9,9,282,0.0319148936170213,0.0319148936170213,0.000310496453900709,0.00237409636714384,"Malawi",1,0,61,0.0163934426229508,0,6.55737704918033e-06,5.12147519731584e-05,1,0.37071558294035,NA,NA,NA,NA,0.0155214509940705,0.0319148936170213,TRUE,TRUE,243,0,"ns","ns",0.895,0.0605112895385329
"460","RSV2268",0.00651716792002133,0.0132720701524396,"Actinomyces (RSV2268)","India",19,3,282,0.0673758865248227,0.0106382978723404,3.19148936170213e-05,0.000188517025458474,"Malawi",4,2,61,0.0655737704918033,0.0327868852459016,4.91803278688525e-05,0.000258858359481057,1,0.217232118744097,1,0,NA,NA,0.00180211603301941,-0.0221485873735612,TRUE,FALSE,244,0,"ns","ns",0.895,0.0605112895385329
"1058","RSV606",0.00650417374139872,0.0121537215694679,"Sutterella (RSV606)","India",5,1,282,0.0177304964539007,0.00354609929078014,4.35460992907801e-05,0.000656481654997091,"Malawi",4,2,61,0.0655737704918033,0.0327868852459016,5.24590163934426e-05,0.000283270516983942,0.0567335859521953,0.0828047136213867,0.0852374165755205,1,NA,NA,-0.0478432740379026,-0.0292407859551215,FALSE,FALSE,245,0,"2","ns",0.895,0.0605112895385329
"411","RSV2091",0.00642844099952622,0.0127626902455247,"Brachybacterium (RSV2091)","India",0,0,282,0,0,0,0,"Malawi",4,1,61,0.0655737704918033,0.0163934426229508,3.34426229508197e-05,0.000202672850063854,0.000920889600300245,0.177842565597668,0.00240669466969224,1,NA,NA,-0.0655737704918033,-0.0163934426229508,FALSE,FALSE,246,0,"2","ns",0.895,0.0605112895385329
"1302","RSV903",0.00642576681185762,0.0134314453399977,"Klebsiella (RSV903)","India",14,2,282,0.049645390070922,0.00709219858156028,4.22695035460993e-05,0.000259833970515628,"Malawi",1,1,61,0.0163934426229508,0.0163934426229508,0.000816393442622951,0.00637623662065822,0.486233586098573,0.445324664825029,NA,NA,NA,NA,0.0332519474479712,-0.00930124404139054,TRUE,FALSE,247,0,"ns","ns",0.895,0.0605112895385329
"396","RSV204",0.00642275501746559,0.0124781200077016,"Bilophila (RSV204)","India",11,5,282,0.0390070921985816,0.0177304964539007,9.60283687943262e-05,0.000867244074001003,"Malawi",3,2,61,0.0491803278688525,0.0327868852459016,0.000139672131147541,0.000892057485466631,0.721321629390437,0.612412036732455,NA,NA,NA,NA,-0.0101732356702709,-0.0150563887920009,FALSE,FALSE,248,0,"ns","ns",0.895,0.0605112895385329
"400","RSV205",0.00637742771193295,0.0123439534917683,"Streptococcus (RSV205)","India",10,4,282,0.0354609929078014,0.0141843971631206,3.5886524822695e-05,0.000278296983952123,"Malawi",2,0,61,0.0327868852459016,0,1.04918032786885e-05,6.14932578826925e-05,1,1,NA,NA,NA,NA,0.00267410766189978,0.0141843971631206,TRUE,TRUE,249,0,"ns","ns",0.895,0.0605112895385329
