"","tax_id","mean","sd","taxonomy","group1_country","group1_present","group1_n","group1_prev","group1_mean","group1_sd","group2_country","group2_present","group2_n","group2_prev","group2_mean","group2_sd","fisher_p","fisher_padj","prev_diff","enriched_group1","rf_rank","rf_top20","fisher_col","rab.all","rab.win.India","rab.win.Malawi","diff.btw","diff.win","effect","overlap","we.ep","we.eBH","wi.ep","wi.eBH","mean_rabund_country1","mean_rabund_country2","mean_rabund_diff","crossval_median","crossval_quartile_1","crossval_quartile_3"
"40","Gardnerella",0.0603843417191657,0.129608263143258,"Gardnerella","India",0,289,0,0,0,"Malawi",8,68,11.8,0,0,1.22247699928786e-06,1.16897289834025e-05,-11.8,FALSE,43,0,"2",-1.35684175159886,-1.28509244416994,-1.69313378664543,-0.179704809313524,4.80442658985633,-0.0329903618872932,0.48552389712257,0.562073243386873,0.72290994896089,0.509237935119781,0.653894791185809,0,0.002,-0.002,0.8,0.75,0.85
"41","Gemella",0.13009944070742,0.231998245251203,"Gemella","India",160,289,55.4,0,0.1,"Malawi",39,68,57.4,0,0.1,0.78774219624499,0.849011033730711,-2,FALSE,25,0,"ns",3.42837859123009,3.44721047597193,3.32398447379581,-0.205052626910062,6.37759330467412,-0.0303132849543929,0.484375000068815,0.522985383461128,0.715007512387825,0.551886821198818,0.711427558233421,0.035,0.047,-0.012,0.8,0.75,0.85
"42","Granulicatella",0.0644388432444473,0.119567822502058,"Granulicatella","India",49,289,17,0.1,1.2,"Malawi",15,68,22.1,0,0.1,0.379065093872106,0.471401462892235,-5.1,FALSE,40,0,"ns",-0.563338492064656,-0.493570573909777,-0.933611077589902,-0.151940261866034,6.16197687459194,-0.0214849461565764,0.489087985345508,0.674779548862932,0.805475644914511,0.568564057389361,0.701295045713018,0.09,0.025,0.065,0.8,0.75,0.85
"43","Haemophilus",0.153081156915928,0.289752331140384,"Haemophilus","India",91,289,31.5,0,0.2,"Malawi",26,68,38.2,0.6,3.5,0.315637802125162,0.397621646832996,-6.7,FALSE,23,0,"ns",0.314111843686311,0.306860785520689,0.37123074132241,0.337308401457678,7.46445482160258,0.0401161664531037,0.481158088318314,0.527726968037364,0.707678776115238,0.630162781236844,0.75990864396494,0.042,0.609,-0.567,0.8,0.75,0.85
"44","Helcobacillus",0.00727973634844078,0.0161324776469631,"Helcobacillus","India",0,289,0,0,0,"Malawi",4,68,5.9,0,0,0.00122374569897644,0.00296758332001787,-5.9,FALSE,96,0,"2",-1.42430263102497,-1.2994660992204,-1.91742765905831,-0.5138999057734,4.60915529748125,-0.0944830370617666,0.443372387111913,0.428927808551347,0.614864708072242,0.291705748443617,0.423701364129548,0,0.005,-0.005,0.8,0.75,0.85
"45","Holdemanella",0.0524822268028034,0.10331903043903,"Holdemanella","India",16,289,5.5,0,0.4,"Malawi",12,68,17.6,0.1,0.3,0.00215532240437821,0.00497776841011159,-12.1,FALSE,49,0,"2",-1.03799108002243,-1.00115266344942,-1.19766459298529,0.0143886184322319,6.03395533594029,0.00212105452710478,0.498736503566319,0.361763686254799,0.547721943424868,0.557915335809419,0.688375408122867,0.039,0.069,-0.03,0.8,0.75,0.85
"46","Klebsiella",0.370287033196953,0.655309093500991,"Klebsiella","India",256,289,88.6,4.6,11.4,"Malawi",46,68,67.6,1.4,3.5,6.41563350829547e-05,0.0002145918794154,21,TRUE,5,1,"1",9.04439156689219,9.42173539049802,6.49233879892392,-3.23606132479957,8.20920754134457,-0.378670397110456,0.328279348432577,2.78820128273541e-05,0.000434427219065442,1.28118679154113e-05,0.000219116875371157,4.671,1.395,3.276,0.8,0.75,0.85
"47","Kocuria",0.0823726823956362,0.168294996117787,"Kocuria","India",8,289,2.8,0,0,"Malawi",10,68,14.7,0,0,0.00041501482426065,0.00118401288097891,-11.9,FALSE,35,0,"2",-1.20179432812558,-1.12792942460094,-1.53611486527283,-0.168386426452335,4.99221989026901,-0.0306793652453385,0.483115093113626,0.575091713945227,0.734483546036227,0.538441664791525,0.676602906721332,0,0.002,-0.002,0.8,0.75,0.85
"48","Lachnoanaerobaculum",0.00758190180817653,0.017953666354787,"Lachnoanaerobaculum","India",4,289,1.4,0,0,"Malawi",4,68,5.9,0,0,0.046002733936988,0.074371086531464,-4.5,FALSE,94,0,"ns",-1.36185280062484,-1.2626635331356,-1.74128193502063,-0.415099997955217,4.43653711995554,-0.0826528372596897,0.458993797562677,0.453357649015349,0.630493767448169,0.353507181312816,0.500803670613056,0,0.001,-0.001,0.8,0.75,0.85
"49","Lachnoclostridium",0.0341085018743145,0.0633999554997839,"Lachnoclostridium","India",30,289,10.4,0.2,1.2,"Malawi",10,68,14.7,0,0.2,0.292800690199048,0.373706144069838,-4.3,FALSE,62,0,"ns",-0.945912687178362,-0.800956483014312,-1.5885640818703,-0.681838196949087,5.97719791395834,-0.0985230974453384,0.443704044368523,0.393312925218676,0.57494400892119,0.237584318532476,0.373914882776679,0.164,0.049,0.115,0.8,0.75,0.85
