"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Limnobacter",0.000707357746374581,0.0016969116875762,"Limnobacter","Limnobacter","Malawi",3,0,68,0.0441176470588235,0,2.94117647058824e-06,1.59344575028048e-05,"UK",0,0,53,0,0,0,0,0.255371900826446,1,NA,NA,NA,NA,0.0441176470588235,0,TRUE,FALSE,229,0,"ns","ns",0.8695,0.0787833623414118
"Methylobacterium",0.000585572724391028,0.00146874973958267,"Methylobacterium","Methylobacterium","Malawi",1,0,68,0.0147058823529412,0,1.17647058823529e-06,9.70142500145332e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,230,0,"ns","ns",0.8695,0.0787833623414118
"Stomatobaculum",0.000580985090712961,0.00293850645088524,"Stomatobaculum","Stomatobaculum","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,231,0,"ns","ns",0.8695,0.0787833623414118
"Weeksella",0.00057025004711843,0.00145297786113915,"Weeksella","Weeksella","Malawi",1,0,68,0.0147058823529412,0,1.17647058823529e-06,9.70142500145332e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,232,0,"ns","ns",0.8695,0.0787833623414118
"Achromobacter",0.000468882274376117,0.001315075410491,"Achromobacter","Achromobacter","Malawi",1,0,68,0.0147058823529412,0,4.11764705882353e-06,3.39549875050866e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,233,0,"ns","ns",0.8695,0.0787833623414118
"Shewanella",0.000440697002368352,0.00126255373110155,"Shewanella","Shewanella","Malawi",1,1,68,0.0147058823529412,0.0147058823529412,0.000105882352941176,0.000873128250130799,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0.0147058823529412,TRUE,TRUE,234,0,"ns","ns",0.8695,0.0787833623414118
"Microbacterium",0.000432948736468945,0.00123703911213251,"Microbacterium","Microbacterium","Malawi",1,0,68,0.0147058823529412,0,2.94117647058824e-06,2.42535625036333e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,235,0,"ns","ns",0.8695,0.0787833623414118
"Vibrionimonas",0.000410411383561602,0.00119643106449573,"Vibrionimonas","Vibrionimonas","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,236,0,"ns","ns",0.8695,0.0787833623414118
"Burkholderia-Caballeronia-Paraburkholderia",0.000406084302943605,0.00119724721980854,"Burkholderia-Caballeronia-Paraburkholderia","Burkholderia-Caballeronia-Paraburkholderia","Malawi",1,0,68,0.0147058823529412,0,3.52941176470588e-06,2.910427500436e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,237,0,"ns","ns",0.8695,0.0787833623414118
"Brucella",0.000399837421592196,0.00122859887446041,"Brucella","Brucella","Malawi",1,0,68,0.0147058823529412,0,2.94117647058824e-06,2.42535625036333e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,238,0,"ns","ns",0.8695,0.0787833623414118
"Afipia",0.000398769674902145,0.00114232441527262,"Afipia","Afipia","Malawi",1,0,68,0.0147058823529412,0,5.88235294117647e-07,4.85071250072666e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,239,0,"ns","ns",0.8695,0.0787833623414118
"Phyllobacterium",0.000398757178434797,0.0011713832088598,"Phyllobacterium","Phyllobacterium","Malawi",1,0,68,0.0147058823529412,0,1.76470588235294e-06,1.455213750218e-05,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,240,0,"ns","ns",0.8695,0.0787833623414118
"unassigned_Burkholderiaceae",0.000391936584257629,0.00118273121762908,"unassigned_Burkholderiaceae","unassigned_Burkholderiaceae","Malawi",1,0,68,0.0147058823529412,0,1.17647058823529e-06,9.70142500145332e-06,"UK",0,0,53,0,0,0,0,1,1,NA,NA,NA,NA,0.0147058823529412,0,TRUE,FALSE,241,0,"ns","ns",0.8695,0.0787833623414118
