"","mean","sd","tax_id","taxonomy","group1_country","group1_present","group1_present_strict","group1_n","group1_prev","group1_prev_strict","group1_mean","group1_sd","group2_country","group2_present","group2_present_strict","group2_n","group2_prev","group2_prev_strict","group2_mean","group2_sd","fisher_p","fisher_p_strict","fisher_padj","fisher_signif","fisher_padj_strict","fisher_signif_strict","prev_diff","prev_diff_strict","enriched_group1","enriched_group1_strict","rf_rank","rf_top20","fisher_col","fisher_col_strict","crossval_mean","crossval_sd"
"Weissella",0.00620401540980881,0.0167974397495485,"Weissella","Weissella","India",12,1,289,0.041522491349481,0.00346020761245675,8.11072664359862e-05,0.00117156537861556,"UK",0,0,71,0,0,0,0,0.134010421579918,1,NA,NA,NA,NA,0.041522491349481,0.00346020761245675,TRUE,TRUE,84,0,"ns","ns",0.898,0.0703239258393226
"Catenibacterium",0.00604918898866805,0.0130977738653872,"Catenibacterium","Catenibacterium","India",9,4,289,0.0311418685121107,0.013840830449827,0.0004080276816609,0.00518696676502301,"UK",0,0,71,0,0,0,0,0.214486831744017,1,NA,NA,NA,NA,0.0311418685121107,0.013840830449827,TRUE,TRUE,85,0,"ns","ns",0.898,0.0703239258393226
"Proteus",0.00601758021358001,0.0151629960038891,"Proteus","Proteus","India",5,2,289,0.0173010380622837,0.0069204152249135,3.19723183391003e-05,0.000414007245384746,"UK",2,2,71,0.028169014084507,0.028169014084507,0.00247042253521127,0.014755219457788,0.628098402379082,0.175674203638288,NA,NA,NA,NA,-0.0108679760222233,-0.0212485988595935,FALSE,FALSE,86,0,"ns","ns",0.898,0.0703239258393226
"Bergeyella",0.00593761116998,0.0165788033630693,"Bergeyella","Bergeyella","India",1,0,289,0.00346020761245675,0,1.3840830449827e-07,2.35294117647059e-06,"UK",1,0,71,0.0140845070422535,0,1.69014084507042e-06,1.42413798983262e-05,0.355988857938719,1,NA,NA,NA,NA,-0.0106242994297968,0,FALSE,FALSE,87,0,"ns","ns",0.898,0.0703239258393226
"Gardnerella",0.00560390899145766,0.0144755138650568,"Gardnerella","Gardnerella","India",4,0,289,0.013840830449827,0,3.32179930795848e-06,3.94410192858502e-05,"UK",1,0,71,0.0140845070422535,0,1.12676056338028e-06,9.49425326555083e-06,1,1,NA,NA,NA,NA,-0.000243676592426531,0,FALSE,FALSE,88,0,"ns","ns",0.898,0.0703239258393226
"Flavobacterium",0.00541585838778106,0.0134255302935204,"Flavobacterium","Flavobacterium","India",1,0,289,0.00346020761245675,0,4.1522491349481e-07,7.05882352941176e-06,"UK",1,0,71,0.0140845070422535,0,2.25352112676056e-06,1.89885065311017e-05,0.355988857938719,1,NA,NA,NA,NA,-0.0106242994297968,0,FALSE,FALSE,89,0,"ns","ns",0.898,0.0703239258393226
"unassigned_Verrucomicrobiaceae",0.00528792340185724,0.0130084069994519,"unassigned_Verrucomicrobiaceae","unassigned_Verrucomicrobiaceae","India",0,0,289,0,0,0,0,"UK",1,0,71,0.0140845070422535,0,1.12676056338028e-06,9.49425326555083e-06,0.197222222222222,1,NA,NA,NA,NA,-0.0140845070422535,0,FALSE,FALSE,90,0,"ns","ns",0.898,0.0703239258393226
"Candidatus_Aquiluna",0.00527159693395158,0.0130876816845162,"Candidatus_Aquiluna","Candidatus_Aquiluna","India",0,0,289,0,0,0,0,"UK",1,0,71,0.0140845070422535,0,2.8169014084507e-06,2.37356331638771e-05,0.197222222222222,1,NA,NA,NA,NA,-0.0140845070422535,0,FALSE,FALSE,91,0,"ns","ns",0.898,0.0703239258393226
"Dorea",0.00493905126855624,0.0118961631996576,"Dorea","Dorea","India",5,3,289,0.0173010380622837,0.0103806228373702,0.000303114186851211,0.0036170495175779,"UK",1,1,71,0.0140845070422535,0.0140845070422535,1.69014084507042e-05,0.000142413798983262,1,0.586390916211492,NA,NA,NA,NA,0.00321653102003022,-0.00370388420488328,TRUE,FALSE,92,0,"ns","ns",0.898,0.0703239258393226
"Lachnospiraceae_NK4A136_group",0.00467620618848153,0.010169362730027,"Lachnospiraceae_NK4A136_group","Lachnospiraceae_NK4A136_group","India",3,1,289,0.0103806228373702,0.00346020761245675,1.19031141868512e-05,0.000157134201392353,"UK",2,1,71,0.028169014084507,0.0140845070422535,0.0044912676056338,0.0378392788714727,0.25643310779594,0.355988857938719,NA,NA,NA,NA,-0.0177883912471368,-0.0106242994297968,FALSE,FALSE,93,0,"ns","ns",0.898,0.0703239258393226
"Moraxella",0.00455311836299339,0.0126168007624191,"Moraxella","Moraxella","India",0,0,289,0,0,0,0,"UK",1,0,71,0.0140845070422535,0,5.63380281690141e-07,4.74712663277541e-06,0.197222222222222,1,NA,NA,NA,NA,-0.0140845070422535,0,FALSE,FALSE,94,0,"ns","ns",0.898,0.0703239258393226
"Allisonella",0.00438604810317501,0.010614317000323,"Allisonella","Allisonella","India",5,2,289,0.0173010380622837,0.0069204152249135,2.93425605536332e-05,0.000303648960598563,"UK",0,0,71,0,0,0,0,0.587552739480561,1,NA,NA,NA,NA,0.0173010380622837,0.0069204152249135,TRUE,TRUE,95,0,"ns","ns",0.898,0.0703239258393226
"Actinobacillus",0.00433598187530049,0.0101926747676179,"Actinobacillus","Actinobacillus","India",6,1,289,0.0207612456747405,0.00346020761245675,1.52249134948097e-05,0.00021346521298549,"UK",1,0,71,0.0140845070422535,0,3.38028169014084e-06,2.84827597966525e-05,1,1,NA,NA,NA,NA,0.00667673863248696,0.00346020761245675,TRUE,TRUE,96,0,"ns","ns",0.898,0.0703239258393226
"Buttiauxella",0.00430250034554128,0.0129807649953103,"Buttiauxella","Buttiauxella","India",8,3,289,0.027681660899654,0.0103806228373702,0.000331487889273356,0.00535670253183894,"UK",0,0,71,0,0,0,0,0.364260482253841,1,NA,NA,NA,NA,0.027681660899654,0.0103806228373702,TRUE,TRUE,97,0,"ns","ns",0.898,0.0703239258393226
"Roseburia",0.00429763275176589,0.0099613544344145,"Roseburia","Roseburia","India",5,4,289,0.0173010380622837,0.013840830449827,0.000279307958477509,0.00435547989031877,"UK",1,1,71,0.0140845070422535,0.0140845070422535,0.00352338028169014,0.0296885299613774,1,1,NA,NA,NA,NA,0.00321653102003022,-0.000243676592426531,TRUE,FALSE,98,0,"ns","ns",0.898,0.0703239258393226
"Dermabacter",0.00364710474049725,0.0109033419253697,"Dermabacter","Dermabacter","India",6,1,289,0.0207612456747405,0.00346020761245675,1.05190311418685e-05,0.000144722221299795,"UK",0,0,71,0,0,0,0,0.602656441978456,1,NA,NA,NA,NA,0.0207612456747405,0.00346020761245675,TRUE,TRUE,99,0,"ns","ns",0.898,0.0703239258393226
"Agathobacter",0.00364361039058173,0.00757439031675463,"Agathobacter","Agathobacter","India",4,1,289,0.013840830449827,0.00346020761245675,0.000130242214532872,0.00212052280228657,"UK",1,1,71,0.0140845070422535,0.0140845070422535,0.000393239436619718,0.00331349438967724,1,0.355988857938719,NA,NA,NA,NA,-0.000243676592426531,-0.0106242994297968,FALSE,FALSE,100,0,"ns","ns",0.898,0.0703239258393226
"Lachnospira",0.00350228639060883,0.0113236484381768,"Lachnospira","Lachnospira","India",3,1,289,0.0103806228373702,0.00346020761245675,1.28719723183391e-05,0.000169100112759668,"UK",0,0,71,0,0,0,0,1,1,NA,NA,NA,NA,0.0103806228373702,0.00346020761245675,TRUE,TRUE,101,0,"ns","ns",0.898,0.0703239258393226
"Faecalibacterium",0.00339563427412698,0.00758868586156007,"Faecalibacterium","Faecalibacterium","India",6,2,289,0.0207612456747405,0.0069204152249135,0.000484567474048443,0.00651927110438051,"UK",2,0,71,0.028169014084507,0,1.69014084507042e-06,1.05540669876536e-05,0.659253250904994,1,NA,NA,NA,NA,-0.00740776840976656,0.0069204152249135,FALSE,TRUE,102,0,"ns","ns",0.898,0.0703239258393226
"Mitsuokella",0.00334753986639492,0.0105479654113955,"Mitsuokella","Mitsuokella","India",5,1,289,0.0173010380622837,0.00346020761245675,2.6159169550173e-05,0.000412090860557309,"UK",0,0,71,0,0,0,0,0.587552739480561,1,NA,NA,NA,NA,0.0173010380622837,0.00346020761245675,TRUE,TRUE,103,0,"ns","ns",0.898,0.0703239258393226
