"","feature_id","feature","feature.description","feature_full","Feature","mean","sd","prev","mean_IND","sd_IND","prev_IND","mean_MLW","sd_MLW","prev_MLW"
"42","g1035","2.7.1.15","Ribokinase","Ribokinase_(2.7.1.15)","Ribokinase_(2.7.1.15)",0.035664,0.016538,100,0.037099,0.017307,100,0.028664,0.009456,100
"733","g1658","3.5.1.28","N-acetylmuramoyl-L-alanine amidase","N-acetylmuramoyl-L-alanine_amidase_(3.5.1.28)","N-acetylmuramoyl-L-alanine_amidase_(3.5.1.28)",0.034616,0.015324,100,0.03382,0.015047,100,0.038499,0.016187,100
"1182","g2061","4.3.2.10","NO NAME","NO_NAME_(4.3.2.10)","NO_NAME_(4.3.2.10)",0.034495,0.011312,100,0.03599,0.010878,100,0.027197,0.010612,100
"1442","g2296","6.3.1.2","Glutamate--ammonia ligase","Glutamate--ammonia_ligase_(6.3.1.2)","Glutamate--ammonia_ligase_(6.3.1.2)",0.033965,0.011378,100,0.035316,0.011067,100,0.027373,0.01063,100
"1087","g1977","4.2.1.20","Tryptophan synthase","Tryptophan_synthase_(4.2.1.20)","Tryptophan_synthase_(4.2.1.20)",0.033795,0.007944,100,0.034034,0.007746,100,0.032629,0.008831,100
"2270","g893","2.4.2.10","Orotate phosphoribosyltransferase","Orotate_phosphoribosyltransferase_(2.4.2.10)","Orotate_phosphoribosyltransferase_(2.4.2.10)",0.033544,0.01157,100,0.034669,0.011219,100,0.028058,0.011781,100
"164","g1145","2.7.3.9","Phosphoenolpyruvate--protein phosphotransferase","Phosphoenolpyruvate--protein_phosphotransferase_(2.7.3.9)","Phosphoenolpyruvate--protein_phosphotransferase_(2.7.3.9)",0.033109,0.009327,100,0.033445,0.008678,100,0.03147,0.011963,100
"1163","g2044","4.2.99.18","DNA-(apurinic or apyrimidinic site) lyase","DNA-(apurinic_or_apyrimidinic_site)_lyase_(4.2.99.18)","DNA-(apurinic_or_apyrimidinic_site)_lyase_(4.2.99.18)",0.032975,0.009842,100,0.033782,0.009765,100,0.029038,0.009328,100
"629","g1564","3.4.16.4","Serine-type D-Ala-D-Ala carboxypeptidase","Serine-type_D-Ala-D-Ala_carboxypeptidase_(3.4.16.4)","Serine-type_D-Ala-D-Ala_carboxypeptidase_(3.4.16.4)",0.032974,0.01486,100,0.032689,0.015009,100,0.034361,0.014152,100
"1433","g2288","6.2.1.5","Succinate--CoA ligase (ADP-forming)","Succinate--CoA_ligase_(ADP-forming)_(6.2.1.5)","Succinate--CoA_ligase_(ADP-forming)_(6.2.1.5)",0.0327,0.009981,100,0.033753,0.009691,100,0.027563,0.00986,100
"1390","g2249","6.1.1.14","Glycine--tRNA ligase","Glycine--tRNA_ligase_(6.1.1.14)","Glycine--tRNA_ligase_(6.1.1.14)",0.032302,0.007608,100,0.032397,0.007339,100,0.031841,0.008863,100
"948","g1851","4.1.1.23","Orotidine-5'-phosphate decarboxylase","Orotidine-5'-phosphate_decarboxylase_(4.1.1.23)","Orotidine-5'-phosphate_decarboxylase_(4.1.1.23)",0.032177,0.01113,100,0.033605,0.010832,100,0.025213,0.00995,100
"1383","g2242","5.99.1.2","DNA topoisomerase","DNA_topoisomerase_(5.99.1.2)","DNA_topoisomerase_(5.99.1.2)",0.032001,0.006728,100,0.031397,0.005836,100,0.034948,0.009532,100
"1700","g38","1.1.1.1","Alcohol dehydrogenase","Alcohol_dehydrogenase_(1.1.1.1)","Alcohol_dehydrogenase_(1.1.1.1)",0.031938,0.010425,100,0.03274,0.009987,100,0.028023,0.011663,100
"1107","g1995","4.2.1.46","dTDP-glucose 4,6-dehydratase","dTDP-glucose_4,6-dehydratase_(4.2.1.46)","dTDP-glucose_4,6-dehydratase_(4.2.1.46)",0.030966,0.009108,100,0.031758,0.009304,100,0.0271,0.006944,100
"1897","g557","1.8.1.9","Thioredoxin-disulfide reductase","Thioredoxin-disulfide_reductase_(1.8.1.9)","Thioredoxin-disulfide_reductase_(1.8.1.9)",0.030788,0.014225,100,0.031591,0.014082,100,0.026872,0.014392,100
"1138","g2021","4.2.1.9","Dihydroxy-acid dehydratase","Dihydroxy-acid_dehydratase_(4.2.1.9)","Dihydroxy-acid_dehydratase_(4.2.1.9)",0.030566,0.00674,100,0.031198,0.00631,100,0.027481,0.007895,100
"662","g1594","3.4.21.89","Signal peptidase I","Signal_peptidase_I_(3.4.21.89)","Signal_peptidase_I_(3.4.21.89)",0.030437,0.007937,100,0.030285,0.007639,100,0.031178,0.009298,100
"2219","g847","2.4.1.25","4-alpha-glucanotransferase","4-alpha-glucanotransferase_(2.4.1.25)","4-alpha-glucanotransferase_(2.4.1.25)",0.029856,0.012439,100,0.03152,0.012041,100,0.021736,0.011168,100
"2022","g67","1.1.1.27","L-lactate dehydrogenase","L-lactate_dehydrogenase_(1.1.1.27)","L-lactate_dehydrogenase_(1.1.1.27)",0.029089,0.015081,100,0.03075,0.013736,100,0.020988,0.018514,100
"1188","g2067","4.3.3.6","Pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)","Pyridoxal_5'-phosphate_synthase_(glutamine_hydrolyzing)_(4.3.3.6)","Pyridoxal_5'-phosphate_synthase_(glutamine_hydrolyzing)_(4.3.3.6)",0.028898,0.016143,100,0.030864,0.015753,100,0.019308,0.01463,100
"213","g119","1.1.1.3","Homoserine dehydrogenase","Homoserine_dehydrogenase_(1.1.1.3)","Homoserine_dehydrogenase_(1.1.1.3)",0.028644,0.007318,100,0.028817,0.006809,100,0.027803,0.009442,100
"1749","g423","1.3.1.98","UDP-N-acetylmuramate dehydrogenase","UDP-N-acetylmuramate_dehydrogenase_(1.3.1.98)","UDP-N-acetylmuramate_dehydrogenase_(1.3.1.98)",0.028441,0.007001,100,0.029053,0.00669,100,0.025458,0.007747,100
"103","g1090","2.7.1.40","Pyruvate kinase","Pyruvate_kinase_(2.7.1.40)","Pyruvate_kinase_(2.7.1.40)",0.028404,0.00519,100,0.028772,0.004998,100,0.026607,0.005754,100
"387","g1346","3.1.26.5","Ribonuclease P","Ribonuclease_P_(3.1.26.5)","Ribonuclease_P_(3.1.26.5)",0.028095,0.00859,100,0.028875,0.007975,100,0.024287,0.010374,100
"2334","g950","2.5.1.54","3-deoxy-7-phosphoheptulonate synthase","3-deoxy-7-phosphoheptulonate_synthase_(2.5.1.54)","3-deoxy-7-phosphoheptulonate_synthase_(2.5.1.54)",0.02801,0.008191,100,0.02864,0.007894,100,0.024938,0.008964,100
"1611","g3","1.1.1.100","3-oxoacyl-[acyl-carrier-protein] reductase","3-oxoacyl-[acyl-carrier-protein]_reductase_(1.1.1.100)","3-oxoacyl-[acyl-carrier-protein]_reductase_(1.1.1.100)",0.027645,0.013944,100,0.027222,0.014223,100,0.029706,0.0124,100
"751","g1674","3.5.1.5","Urease","Urease_(3.5.1.5)","Urease_(3.5.1.5)",0.027445,0.020881,99.7,0.02924,0.0209,100,0.018687,0.01859,98.3
"1494","g2342","6.3.5.2","GMP synthase (glutamine-hydrolyzing)","GMP_synthase_(glutamine-hydrolyzing)_(6.3.5.2)","GMP_synthase_(glutamine-hydrolyzing)_(6.3.5.2)",0.027377,0.017926,100,0.028322,0.019353,100,0.022765,0.006139,100
"1828","g495","1.5.1.2","Pyrroline-5-carboxylate reductase","Pyrroline-5-carboxylate_reductase_(1.5.1.2)","Pyrroline-5-carboxylate_reductase_(1.5.1.2)",0.027327,0.008432,100,0.028383,0.008035,100,0.022171,0.008493,100
"2174","g806","2.3.3.13","2-isopropylmalate synthase","2-isopropylmalate_synthase_(2.3.3.13)","2-isopropylmalate_synthase_(2.3.3.13)",0.027232,0.005912,100,0.028012,0.005739,100,0.023426,0.005268,100
"1487","g2336","6.3.4.4","Adenylosuccinate synthase","Adenylosuccinate_synthase_(6.3.4.4)","Adenylosuccinate_synthase_(6.3.4.4)",0.027155,0.005521,100,0.027406,0.005194,100,0.025931,0.006819,100
"661","g1593","3.4.21.88","Repressor LexA","Repressor_LexA_(3.4.21.88)","Repressor_LexA_(3.4.21.88)",0.027139,0.013129,100,0.028079,0.013054,100,0.022552,0.012624,100
"1394","g2252","6.1.1.17","Glutamate--tRNA ligase","Glutamate--tRNA_ligase_(6.1.1.17)","Glutamate--tRNA_ligase_(6.1.1.17)",0.027078,0.008906,100,0.028068,0.009045,100,0.022251,0.006309,100
"324","g129","1.1.1.44","Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)","Phosphogluconate_dehydrogenase_(NADP(+)-dependent,_decarboxylating)_(1.1.1.44)","Phosphogluconate_dehydrogenase_(NADP(+)-dependent,_decarboxylating)_(1.1.1.44)",0.027042,0.012542,100,0.028816,0.012218,100,0.018388,0.010386,100
"1170","g2050","4.3.1.17","L-serine ammonia-lyase","L-serine_ammonia-lyase_(4.3.1.17)","L-serine_ammonia-lyase_(4.3.1.17)",0.026924,0.010307,100,0.026524,0.010216,100,0.028876,0.010618,100
"1410","g2267","6.1.1.9","Valine--tRNA ligase","Valine--tRNA_ligase_(6.1.1.9)","Valine--tRNA_ligase_(6.1.1.9)",0.026914,0.004667,100,0.027258,0.004395,100,0.025233,0.005557,100
"2003","g652","2.1.1.33","tRNA (guanine(46)-N(7))-methyltransferase","tRNA_(guanine(46)-N(7))-methyltransferase_(2.1.1.33)","tRNA_(guanine(46)-N(7))-methyltransferase_(2.1.1.33)",0.026887,0.007876,100,0.027667,0.007663,100,0.023079,0.007855,100
"2051","g696","2.2.1.2","Transaldolase","Transaldolase_(2.2.1.2)","Transaldolase_(2.2.1.2)",0.02673,0.006954,100,0.02751,0.006158,100,0.022928,0.009116,100
"1306","g2173","5.3.1.6","Ribose-5-phosphate isomerase","Ribose-5-phosphate_isomerase_(5.3.1.6)","Ribose-5-phosphate_isomerase_(5.3.1.6)",0.026621,0.006429,100,0.027021,0.005725,100,0.024668,0.008929,100
"186","g1165","2.7.6.5","GTP diphosphokinase","GTP_diphosphokinase_(2.7.6.5)","GTP_diphosphokinase_(2.7.6.5)",0.026594,0.010758,100,0.028019,0.010174,100,0.019641,0.010905,100
"1640","g325","1.2.1.11","Aspartate-semialdehyde dehydrogenase","Aspartate-semialdehyde_dehydrogenase_(1.2.1.11)","Aspartate-semialdehyde_dehydrogenase_(1.2.1.11)",0.026582,0.005066,100,0.027283,0.004625,100,0.023159,0.005734,100
"2138","g774","2.3.1.54","Formate C-acetyltransferase","Formate_C-acetyltransferase_(2.3.1.54)","Formate_C-acetyltransferase_(2.3.1.54)",0.026479,0.01031,100,0.026356,0.009795,100,0.027078,0.012605,100
"1466","g2317","6.3.2.4","D-alanine--D-alanine ligase","D-alanine--D-alanine_ligase_(6.3.2.4)","D-alanine--D-alanine_ligase_(6.3.2.4)",0.026389,0.004302,100,0.026648,0.003913,100,0.025124,0.005718,100
"832","g1747","3.5.99.6","Glucosamine-6-phosphate deaminase","Glucosamine-6-phosphate_deaminase_(3.5.99.6)","Glucosamine-6-phosphate_deaminase_(3.5.99.6)",0.025939,0.007411,100,0.025923,0.007258,100,0.026014,0.008186,100
"1231","g2105","5.1.1.1","Alanine racemase","Alanine_racemase_(5.1.1.1)","Alanine_racemase_(5.1.1.1)",0.025874,0.00463,100,0.025847,0.004414,100,0.026005,0.005611,100
